State,year,number_breweries,population,residents_per_brewery
CA,1984,9,25844.393,2871.599222222222
PA,1984,4,11815.172,2953.793
TX,1984,4,16007.086,4001.7715
WA,1984,4,4343.656,1085.914
WI,1984,5,4735.563,947.1126
CA,1985,12,26441.109,2203.42575
OR,1985,3,2672.652,890.884
PA,1985,4,11770.862,2942.7155
TX,1985,4,16272.734,4068.1835
WA,1985,4,4400.098,1100.0245
WI,1985,6,4747.767,791.2945
CA,1986,15,27102.237,1806.8158
MN,1986,3,4205.212,1401.7373333333335
NY,1986,3,17833.419,5944.473000000001
OR,1986,5,2683.528,536.7056
PA,1986,5,11782.752,2356.5504
TX,1986,4,16561.113,4140.27825
WA,1986,4,4452.72,1113.18
WI,1986,7,4755.618,679.374
CA,1987,23,27777.158,1207.7025217391304
ID,1987,3,984.997,328.33233333333334
MA,1987,3,5935.204,1978.4013333333332
MN,1987,4,4235.136,1058.784
NY,1987,4,17868.848,4467.212
OR,1987,8,2700.991,337.623875
PA,1987,6,11810.866,1968.4776666666667
TX,1987,4,16621.791,4155.44775
WA,1987,4,4531.901,1132.97525
WI,1987,10,4777.919,477.7919
CA,1988,39,28464.249,729.8525384615384
CO,1988,3,3262.281,1087.427
FL,1988,3,12306.395,4102.131666666667
ID,1988,3,985.664,328.55466666666666
IL,1988,4,11390.183,2847.54575
MA,1988,3,5979.982,1993.3273333333334
MI,1988,3,9217.998,3072.6659999999997
MN,1988,5,4296.166,859.2332
NY,1988,5,17941.309,3588.2618
OH,1988,3,10798.552,3599.5173333333332
OR,1988,13,2741.297,210.869
PA,1988,6,11845.752,1974.2920000000001
TX,1988,5,16667.022,3333.4044000000004
WA,1988,7,4639.893,662.8418571428572
WI,1988,12,4822.388,401.86566666666664
AZ,1989,6,3622.185,603.6975
CA,1989,50,29218.164,584.36328
CO,1989,7,3275.818,467.97400000000005
FL,1989,6,12637.715,2106.2858333333334
ID,1989,3,994.416,331.47200000000004
IL,1989,5,11409.782,2281.9564
IN,1989,4,5523.693,1380.92325
MA,1989,5,6015.478,1203.0956
MD,1989,3,4727.301,1575.767
MI,1989,3,9253.295,3084.431666666667
MN,1989,7,4338.057,619.7224285714285
NC,1989,6,6565.459,1094.2431666666666
NY,1989,6,17983.086,2997.181
OH,1989,5,10829.217,2165.8434
OR,1989,15,2790.575,186.03833333333333
PA,1989,8,11865.996,1483.2495
TX,1989,7,16806.735,2400.962142857143
VT,1989,3,557.707,185.90233333333333
WA,1989,8,4746.316,593.2895
WI,1989,14,4856.574,346.89814285714283
AZ,1990,8,3679.056,459.882
CA,1990,67,29950.111,447.01658208955223
CO,1990,11,3303.862,300.35109090909094
FL,1990,7,13018.365,1859.7664285714286
ID,1990,3,1011.882,337.294
IL,1990,6,11446.979,1907.8298333333332
IN,1990,4,5555.097,1388.77425
MA,1990,5,6018.664,1203.7328
MD,1990,3,4797.431,1599.1436666666666
MI,1990,3,9310.462,3103.487333333333
MN,1990,7,4387.283,626.7547142857144
MT,1990,3,799.824,266.608
NC,1990,8,6656.987,832.123375
NY,1990,8,18002.855,2250.356875
OH,1990,6,10861.837,1810.3061666666665
OR,1990,21,2858.547,136.1212857142857
PA,1990,11,11895.604,1081.4185454545454
TX,1990,8,17044.714,2130.58925
VA,1990,4,6213.526,1553.3815
VT,1990,4,564.526,141.1315
WA,1990,10,4900.78,490.078
WI,1990,17,4902.265,288.3685294117647
AK,1991,3,569.273,189.75766666666667
AZ,1991,8,3762.394,470.29925
CA,1991,76,30414.114,400.1857105263158
CO,1991,22,3367.567,153.07122727272727
FL,1991,13,13289.497,1022.269
IA,1991,4,2791.227,697.80675
ID,1991,5,1038.915,207.783
IL,1991,9,11535.973,1281.7747777777777
IN,1991,5,5602.062,1120.4124
LA,1991,3,4240.95,1413.6499999999999
MA,1991,6,5998.652,999.7753333333334
MD,1991,4,4856.176,1214.044
ME,1991,3,1235.439,411.81300000000005
MI,1991,3,9395.022,3131.6740000000004
MN,1991,8,4427.429,553.428625
MO,1991,3,5157.77,1719.256666666667
MT,1991,5,807.837,161.5674
NC,1991,11,6748.135,613.4668181818182
NM,1991,3,1547.115,515.705
NY,1991,13,18029.532,1386.8870769230768
OH,1991,9,10933.683,1214.8536666666669
OR,1991,26,2918.745,112.25942307692307
PA,1991,12,11943.16,995.2633333333333
TX,1991,7,17339.904,2477.1291428571426
UT,1991,3,1771.941,590.647
VA,1991,5,6283.853,1256.7706
VT,1991,6,567.141,94.5235
WA,1991,13,5013.443,385.64946153846154
WI,1991,18,4952.675,275.1486111111111
AK,1992,4,587.073,146.76825
AZ,1992,7,3867.333,552.4761428571429
CA,1992,93,30875.92,331.99913978494624
CO,1992,27,3459.995,128.14796296296296
FL,1992,17,13504.775,794.3985294117647
IA,1992,5,2806.923,561.3846
ID,1992,8,1066.49,133.31125
IL,1992,12,11635.197,969.59975
IN,1992,6,5648.649,941.4415
LA,1992,3,4270.849,1423.6163333333334
MA,1992,9,5993.474,665.9415555555556
MD,1992,5,4902.545,980.509
ME,1992,5,1235.748,247.14960000000002
MI,1992,4,9470.323,2367.58075
MN,1992,8,4471.503,558.937875
MO,1992,4,5193.686,1298.4215
MT,1992,7,822.436,117.49085714285715
