state,style,n,mean_abv,mean_rating,brewery_name,brewery_total_revew
NA,American IPA,95,6.5081544256120525,3.7547077658736705,Mendocino Brewing Company,4385
AK,American IPA,41,7.048634812286689,3.8438826046339996,Alaskan Brewing Co.,7221
AL,American IPA,52,6.77691823899371,3.79272655791094,Good People Brewing Company,1698
AR,American IPA,28,6.2429487179487175,3.8067988052660584,Ozark Beer Co.,825
AZ,American IPA,120,6.476234939759036,3.7608764908196317,Four Peaks Brewing Company - 8th Street Brewery,1474
CA,American IPA,1775,7.087158341714158,3.8500887794161645,Sierra Nevada Brewing Co.,60479
CO,American IPA,502,6.741641791044776,3.7963082120816036,New Belgium Brewing,36622
CT,American IPA,287,6.631030351437699,3.903159478150233,New England Brewing Co.,7116
DC,Belgian Saison,46,6.533163265306122,3.8556102369473773,DC Brau Brewing Co.,3042
DE,American IPA,39,7.262086330935252,3.8096688255193145,Dogfish Head Craft Brewery,64705
FL,American IPA,418,6.898636548636548,3.856180852323529,Cigar City Brewing,24659
GA,American IPA,158,6.946869688385269,3.898762113738911,Terrapin Beer Company,12035
HI,American IPA,27,6.146428571428571,3.7121122435207408,Kona Brewing Co.,7428
IA,American IPA,72,6.71016091954023,3.896159294161455,Toppling Goliath Brewing Company,19467
ID,American IPA,53,6.656518987341772,3.663063419118723,Grand Teton Brewing Co.,2850
IL,American IPA,508,7.001914337947245,3.8755354058936446,Goose Island Beer Co.,37699
IN,American IPA,224,6.927308707124011,3.880971711914453,3 Floyds Brewing Co.,38846
KS,American IPA,51,6.36905303030303,3.763434301652815,Free State Brewing Co.,1365
KY,American IPA,72,6.938515625,3.824443357040394,Against The Grain Brewery & Smokehouse,4689
LA,American IPA,62,6.453076923076923,3.825897624533755,Abita Brewing Co.,11749
MA,American IPA,454,6.677352123858674,3.913019758103302,Boston Beer Company (Samuel Adams),66274
MD,American IPA,197,6.616406504065041,3.7879002431915874,Flying Dog Brewery,17968
ME,American IPA,177,6.472081673306773,3.860883785261877,Allagash Brewing Company,19674
MI,American IPA,397,6.9298117864856525,3.798093401420002,Founders Brewing Company,66785
MN,American IPA,317,6.6814621559633025,3.8904260252454894,Surly Brewing Company,19357
MO,American IPA,177,6.499353268428373,3.7491375418028845,Anheuser-Busch,24555
MS,American IPA,20,6.495736434108527,3.791432317227551,Lazy Magnolia Brewing Company,1891
MT,American IPA,57,6.2252219321148825,3.769568070436114,Big Sky Brewing Company,5359
NC,American IPA,441,6.6025655281969815,3.8826436001732234,Wicked Weed Brewing,13156
ND,American IPA,15,5.983529411764706,3.8726837849421587,Fargo Brewing Company,613
NE,American IPA,44,6.822054380664652,3.848246241233271,Nebraska Brewing Company,2365
NH,American IPA,129,6.440541125541126,3.8024400012005124,Smuttynose Brewing Company,17001
NJ,American IPA,295,6.854241552839683,3.9001113827896425,Carton Brewing Company,6631
NM,American IPA,78,6.481720430107527,3.7447860508299153,La Cumbre Brewing Co.,2422
NV,American Imperial IPA,51,6.8301840490797545,3.728238184238616,Revision Brewing Company,1204
NY,American IPA,1052,6.756005547850208,3.9052300676337244,Southern Tier Brewing Company,27552
OH,American IPA,330,7.061390212213079,3.8827304174556896,Great Lakes Brewing Co.,24774
OK,American Imperial Stout,80,7.825354330708661,3.89270743067234,Prairie Artisan Ales,25022
OR,American IPA,443,6.7445146048109965,3.837672063250399,Rogue Ales,31976
PA,American IPA,806,6.615031832651205,3.824429641449211,Victory Brewing Company - Downingtown,33529
RI,American IPA,67,6.568016085790885,3.8756481342328786,Narragansett Brewing Co.,2458
SC,American IPA,101,6.531731391585761,3.8342716038058655,Westbrook Brewing Co.,7471
SD,American IPA,23,6.06596685082873,3.62761081416132,Crow Peak Brewing,424
TN,American IPA,142,6.303445850914206,3.8465936852417397,Yazoo Brewing Company,2565
TX,American IPA,457,6.6291753402722176,3.7770167196550286,Jester King Brewery,10332
UT,American Pale Ale (APA),32,5.953098159509202,3.690234399899825,Uinta Brewing Company,9370
VA,American IPA,434,7.0459836937256295,3.857904303196006,The Veil Brewing Co.,6529
VT,American IPA,237,6.453376132930513,3.97092139086963,Hill Farmstead Brewery,29159
WA,American IPA,561,6.644584527220631,3.764579829242248,Elysian Brewing Company,8993
WI,American IPA,193,6.472113365990203,3.6465270849131763,New Glarus Brewing Company,19997
WV,American IPA,17,6.255529411764706,3.823273213015535,Mountain State Brewing Co.,291
WY,American IPA,30,6.433333333333334,3.7790085343852127,Melvin Brewing / Thai Me Up,2969
