"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production","population","percent_in_brewery","prodcution_PP","consumed_in_brewery_PP","percent_in_can","percent_in_keg","Total Production","Brewery Consumption (PP)","Consumed in Brewery (%)","Canned or Bottled (%)","Kegged (%)","Total Production (PP)"
"1","AK",2007,79423.93,48706.76,2415.76,130546.45,680.3,1.85049842412413,191.895413788035,3.55102160811407,60.8395938763559,37.30990769952,130546,3.55,1.85,60.84,37.31,3.55
"2","AL",2007,0,0,658.6,658.6,4672.84,100,0.140942125131612,0.140942125131612,0,0,659,0.14,100,0,0,0.14
"3","AR",2007,996.65,892.27,1246,3134.92,2848.65,39.7458308345986,1.10049321608481,0.437400172011304,31.7918798565833,28.4622893088181,3135,0.44,39.75,31.79,28.46,0.44
"4","AZ",2007,6333.37,16159.29,15668.09,38160.75,6167.681,41.0581290986157,6.18721201696391,2.54035349753011,16.5965553612023,42.345315540182,38161,2.54,41.06,16.6,42.35,2.54
"5","CA",2007,20276679.66,2031592.76,63557.26,22371829.68,36250.311,0.284095046802627,617.148627497292,1.7532886821302,90.6348740806255,9.08103087257188,22371830,1.75,0.28,90.63,9.08,1.75
"6","CO",2007,21992825.69,2203524.91,48316.88,24244667.48,4803.868,0.199288689110122,5046.90542704337,10.0579116661823,90.7120120667458,9.08869924414405,24244667,10.06,0.2,90.71,9.09,10.06
"7","CT",2007,2874.84,3347.21,2993.33,9215.38,3527.27,32.4818943982777,2.61260975201785,0.848625140689542,31.1961091132433,36.321996488479,9215,0.85,32.48,31.2,36.32,0.85
"8","DC",2007,0,0,2905.21,2905.21,574.404,100,5.05778163104714,5.05778163104714,0,0,2905,5.06,100,0,0,5.06
"9","DE",2007,39964.25,19561.75,2396.49,61922.49,871.749,3.87014475677577,71.0324760911684,2.74905964905036,64.5391520915906,31.5907031516336,61922,2.75,3.87,64.54,31.59,2.75
"10","FL",2007,8039385.65,1168248.81,8376.9,9216011.36,18367.842,0.0908950702508683,501.747094732195,0.45606337423852,87.2328096826478,12.6762952471013,9216011,0.46,0.09,87.23,12.68,0.46
"11","GA",2007,14117629.75,370951.41,3949.61,14492530.77,9349.988,0.0272527280616566,1550.00528022068,0.42241872395986,97.413143184239,2.55960408769931,14492531,0.42,0.03,97.41,2.56,0.42
"12","HI",2007,2892.23,12167.94,2728.47,17788.64,1315.675,15.3382720657678,13.5205426872138,2.07381762213313,16.2588595867925,68.4028683474397,17789,2.07,15.34,16.26,68.4,2.07
"13","IA",2007,1213.72,1621.63,6202.53,9037.88,2999.212,68.6281517346988,3.01341819117822,2.0680532086428,13.4292555333773,17.9425927319239,9038,2.07,68.63,13.43,17.94,2.07
"14","ID",2007,4644.64,6120.91,4246.57,15012.12,1505.105,28.2876102775624,9.97413469492162,2.82144435105856,30.9392677383341,40.7731219841035,15012,2.82,28.29,30.94,40.77,2.82
"15","IL",2007,686411.86,33285.69,17948.66,737646.21,12695.866,2.43323421942343,58.1012913967429,1.41374050419247,93.0543464732233,4.51241930735332,737646,1.41,2.43,93.05,4.51,1.41
"16","IN",2007,74919.14,8462.19,7748.24,91129.57,6379.599,8.5024432793878,14.2845294821822,1.21453401694997,82.2116685067207,9.28588821389149,91130,1.21,8.5,82.21,9.29,1.21
"17","KS",2007,250.42,1167.72,7207.89,8626.03,2783.785,83.5597603996276,3.09866961708609,2.5892409076132,2.90307360396382,13.5371659964085,8626,2.59,83.56,2.9,13.54,2.59
"18","KY",2007,117259.02,3259.96,4235.65,124754.63,4256.672,3.39518461158516,29.3080204441404,0.995061400079687,93.9917179827314,2.61309740568346,124755,1,3.4,93.99,2.61,1
"19","LA",2007,49881.91,25891.84,1455.94,77229.69,4375.581,1.88520761898695,17.650156630628,0.332742097563729,64.589033051926,33.525759329087,77230,0.33,1.89,64.59,33.53,0.33
"20","MA",2007,48378.1,77178.19,10501.79,136058.08,6431.559,7.71860811206508,21.1547589006025,1.63285293658971,35.5569474447971,56.7244444431378,136058,1.63,7.72,35.56,56.72,1.63
"21","MD",2007,47397.98,21163.3,8744.83,77306.11,5653.408,11.3119519272151,13.6742492316139,1.54682449948774,61.3120748153024,27.3759732574825,77306,1.55,11.31,61.31,27.38,1.55
"22","ME",2007,82130.69,38834.04,4725.47,125690.2,1327.04,3.75961689932867,94.7147034000482,3.56090999517724,65.3437499502746,30.8966331503968,125690,3.56,3.76,65.34,30.9,3.56
"23","MI",2007,65621.64,59678.65,20441.09,145741.38,10001.284,14.0255910847009,14.5722669209274,2.0438465701004,45.0260866200114,40.9483222952877,145741,2.04,14.03,45.03,40.95,2.04
"24","MN",2007,187203.48,56176.96,8776.75,252157.19,5207.203,3.4806661670048,48.4246897998791,1.68550179434142,74.2407860747496,22.2785477582456,252157,1.69,3.48,74.24,22.28,1.69
"25","MO",2007,13897374.55,1648121.55,12709.32,15558205.42,5887.612,0.0816888558603438,2642.53239174049,2.15865447655178,89.3250485826276,10.5932625615121,15558205,2.16,0.08,89.33,10.59,2.16
"26","MS",2007,61.48,2468.14,0,2529.62,2928.35,0,0.863837997507129,0,2.43040456669381,97.5695954333062,2530,0,0,2.43,97.57,0
"27","MT",2007,33890.82,34436.33,100.34,68427.49,964.706,0.146636972947568,70.9309261059846,0.104010962925492,49.5280770929929,50.3252859340596,68427,0.1,0.15,49.53,50.33,0.1
"28","NC",2007,6954288.19,905166.19,13480.81,7872935.19,9118.037,0.171229785012367,863.44628673913,1.47847722048068,88.3315818328234,11.4971883821642,7872935,1.48,0.17,88.33,11.5,1.48
"29","ND",2007,0,0,609.06,609.06,652.822,100,0.932964881698227,0.932964881698227,0,0,609,0.93,100,0,0,0.93
"30","NE",2007,1514.32,3623.24,5259.89,10397.45,1783.44,50.5882692390923,5.82999708428655,2.94929462163011,14.5643402949762,34.8473904659315,10397,2.95,50.59,14.56,34.85,2.95
"31","NH",2007,2735565.87,355237.9,3964.37,3094768.14,1312.54,0.128099095656323,2357.84672467125,3.0203803312661,88.3932413108014,11.4786595935423,3094768,3.02,0.13,88.39,11.48,3.02
"32","NJ",2007,6786713.68,518953.23,5127,7310793.91,8677.885,0.070129182454276,842.462640378387,0.59081216218007,92.8314183595965,7.09845245794926,7310794,0.59,0.07,92.83,7.1,0.59
"33","NM",2007,3578.14,6123,5818.64,15519.78,1990.07,37.4917685688844,7.79861009914224,2.92383684996005,23.0553525887609,39.4528788423547,15520,2.92,37.49,23.06,39.45,2.92
"34","NV",2007,216.58,14658.54,15040.24,29915.36,2601.072,50.2759786277016,11.5011656732301,5.78232359580973,0.723975910702729,49.0000454615956,29915,5.78,50.28,0.72,49,5.78
"35","NY",2007,6695785.34,795940.87,11320.37,7503046.58,19132.335,0.150876978828512,392.165753944827,0.591687841552011,89.2408872663563,10.6082357548152,7503047,0.59,0.15,89.24,10.61,0.59
"36","OH",2007,18093553.98,1684507.38,7119.78,19785181.14,11500.468,0.0359854173162248,1720.38052190572,0.619086110234818,91.4500294537106,8.51398512897315,19785181,0.62,0.04,91.45,8.51,0.62
"37","OK",2007,1415.28,561.61,3905.71,5882.6,3634.349,66.3942814401795,1.61861175137556,1.07466564163211,24.0587495325196,9.54696902730085,5883,1.07,66.39,24.06,9.55,1.07
"38","OR",2007,463171.18,267558.25,16962.21,747691.64,3722.417,2.26861035921172,200.861870123632,4.55677319333111,61.9468180759651,35.7845715648232,747692,4.56,2.27,61.95,35.78,4.56
"39","PA",2007,2100671.91,594726.99,20048.89,2715447.79,12563.937,0.738327213428029,216.130325231653,1.5957490076558,77.3600552268398,21.9016175597322,2715448,1.6,0.74,77.36,21.9,1.6
"40","RI",2007,84.5,3112.5,908.37,4105.37,1057.315,22.1263856850905,3.88282583714409,0.859129020206845,2.05827976528303,75.8153345496265,4105,0.86,22.13,2.06,75.82,0.86
"41","SC",2007,2663.67,4950.87,3492.61,11107.15,4444.11,31.4447000355627,2.49929682208586,0.78589638870325,23.9815794330679,44.5737205313694,11107,0.79,31.44,23.98,44.57,0.79
"42","SD",2007,0,907,946.52,1853.52,791.623,51.0660796754284,2.34141756871642,1.19567016117521,0,48.9339203245716,1854,1.2,51.07,0,48.93,1.2
"43","TN",2007,28.65,8598.27,10370.86,18997.78,6175.727,54.5898520774533,3.07620139296961,1.67929379002666,0.150807094302597,45.2593408282441,18998,1.68,54.59,0.15,45.26,1.68
"44","TX",2007,18789638.88,1088767.77,7133.91,19885540.56,23831.983,0.0358748608239996,834.405620379974,0.299341855018947,94.4889520267585,5.47517311241752,19885541,0.3,0.04,94.49,5.48,0.3
"45","UT",2007,20537.96,25539.65,6300.55,52378.16,2597.746,12.0289639804071,20.1629258595721,2.42539108904412,39.2109230259329,48.7601129936599,52378,2.43,12.03,39.21,48.76,2.43
"46","VA",2007,13677700.7,1519072.07,11810.66,15208583.43,7751,0.0776578571854539,1962.14468197652,1.5237595149013,89.934087306381,9.98825483643351,15208583,1.52,0.08,89.93,9.99,1.52
"47","VT",2007,197799.34,66877.72,3489.62,268166.68,623.481,1.30128769166997,430.112032283261,5.59699493649365,73.759849657683,24.938862650647,268167,5.6,1.3,73.76,24.94,5.6
"48","WA",2007,135954.63,175030,19697.39,330682.02,6461.587,5.95659540243525,51.1765948520077,3.0483826960776,41.1134025369749,52.9300020605898,330682,3.05,5.96,41.11,52.93,3.05
"49","WI",2007,7394929.6,1129963.27,15433.97,8540326.84,5610.775,0.180718727621904,1522.1296238042,2.75077328889503,86.5883676180243,13.2309136543538,8540327,2.75,0.18,86.59,13.23,2.75
"50","WV",2007,1144.66,853.65,865.02,2863.33,1834.052,30.2102796394408,1.56120437152273,0.47164420638019,39.9765308225039,29.8131895380553,2863,0.47,30.21,39.98,29.81,0.47
"51","WY",2007,1826.8,2749.59,322.24,4898.63,534.876,6.57816573205162,9.15844046096665,0.602457391993658,37.2920592083909,56.1297750595575,4899,0.6,6.58,37.29,56.13,0.6
"52","AK",2008,81218.75,50920.35,2067.69,134206.79,687.455,1.54067465587993,195.222654573754,3.00774596155385,60.5176161355174,37.9417092086026,134207,3.01,1.54,60.52,37.94,3.01
"53","AL",2008,0,157.33,723.53,880.86,4718.206,82.1390459323843,0.186693840836962,0.153348539678005,0,17.8609540676157,881,0.15,82.14,0,17.86,0.15
"54","AR",2008,1206.73,882.83,1328.35,3417.91,2874.554,38.8643937376935,1.18902271448023,0.462106469386207,35.3060788610584,25.8295274012481,3418,0.46,38.86,35.31,25.83,0.46
"55","AZ",2008,6980.87,18635.98,14857.81,40474.66,6280.362,36.7089186172287,6.44463806385683,2.36575694203614,17.2475074528112,46.0435739299601,40475,2.37,36.71,17.25,46.04,2.37
"56","CA",2008,20082718.48,2005517.01,61172.74,22149408.23,36604.337,0.276182277037746,605.103385153513,1.67118830754946,90.6693229519297,9.05449477103254,22149408,1.67,0.28,90.67,9.05,1.67
"57","CO",2008,24182900.4,2564428.26,48528.59,26795857.25,4889.73,0.181104823582384,5480.02798723038,9.92459501853886,90.2486536421596,9.57024153425806,26795857,9.92,0.18,90.25,9.57,9.92
"58","CT",2008,1985.86,3851.71,2205.67,8043.24,3545.579,27.4226555467697,2.26852652274847,0.622090214320426,24.6898016222318,47.8875428309985,8043,0.62,27.42,24.69,47.89,0.62
"59","DC",2008,732.36,0,2957.74,3690.1,580.236,80.1533833771443,6.35965365816668,5.09747757808891,19.8466166228558,0,3690,5.1,80.15,19.85,0,5.1
"60","DE",2008,57376.89,25709.65,2005.33,85091.87,883.874,2.35666462612703,96.2714934481612,2.26879623113702,67.4293443075114,30.2139910663616,85092,2.27,2.36,67.43,30.21,2.27
"61","FL",2008,8301524.51,1188745.72,7078.61,9497348.84,18527.305,0.0745324839515951,512.613617576868,0.38206366225417,87.4088616713377,12.5166058447107,9497349,0.38,0.07,87.41,12.52,0.38
"62","GA",2008,14460115.55,412159.15,3751.97,14876026.67,9504.843,0.0252215869414007,1565.09967287203,0.394742974712996,97.2041518261139,2.77062658694467,14876027,0.39,0.03,97.2,2.77,0.39
"63","HI",2008,3244.23,13159.64,1875.2,18279.07,1332.213,10.2587276048508,13.7208314286079,1.40758272138164,17.748331835263,71.9929405598862,18279,1.41,10.26,17.75,71.99,1.41
"64","IA",2008,1951.71,2113.46,6817.26,10882.43,3016.734,62.644648300058,3.60735484136155,2.25981475330606,17.9345054367453,19.4208462631967,10882,2.26,62.64,17.93,19.42,2.26
"65","ID",2008,4710.76,6279.71,3385.1,14375.57,1534.32,23.5475880260748,9.36934277073883,2.2062542364044,32.7692049776113,43.6832069963139,14376,2.21,23.55,32.77,43.68,2.21
"66","IL",2008,735775.96,39678.85,17941.55,793396.36,12747.038,2.26136026134529,62.2416250739976,1.40750737543891,92.7375013417001,5.00113839695458,793396,1.41,2.26,92.74,5,1.41
"67","IN",2008,7626.27,11103.64,8775.27,27505.18,6424.806,31.9040631619208,4.28109113333539,1.36584201919871,27.726668213042,40.3692686250372,27505,1.37,31.9,27.73,40.37,1.37
"68","KS",2008,749,1521.34,7386.89,9657.23,2808.076,76.4907742696405,3.43909139211332,2.63058763366803,7.7558471735684,15.7533785567911,9657,2.63,76.49,7.76,15.75,2.63
"69","KY",2008,76976.9,4568.13,5205.78,86750.81,4289.878,6.00084310451972,20.2222091164364,1.21350304134523,88.7333501554625,5.26580674001776,86751,1.21,6,88.73,5.27,1.21
"70","LA",2008,53303.39,28163.29,1421.57,82888.25,4435.586,1.71504405027251,18.6871024482447,0.320492038706949,64.3075345419888,33.9774214077387,82888,0.32,1.72,64.31,33.98,0.32
"71","MA",2008,51229.45,79385.94,10612.91,141228.3,6468.967,7.5147190754261,21.8316618402907,1.64058805679485,36.2742099140187,56.2110710105552,141228,1.64,7.51,36.27,56.21,1.64
"72","MD",2008,47959.13,23321.62,6787.24,78067.99,5684.965,8.69401146359731,13.7323607093447,1.19389301429296,61.4325154266172,29.8734731097855,78068,1.19,8.69,61.43,29.87,1.19
"73","ME",2008,76817.87,42649.45,5094.65,124561.97,1330.509,4.09005252566253,93.6197876151157,3.82909848787193,61.6704038961491,34.2395435781884,124562,3.83,4.09,61.67,34.24,3.83
"74","MI",2008,83937.28,74309.35,21484.83,179731.46,9946.889,11.9538504833823,18.0691128653391,2.15995473559623,46.7014956646989,41.3446538519189,179731,2.16,11.95,46.7,41.34,2.16
"75","MN",2008,223517.81,62497.37,8568.38,294583.56,5247.018,2.90864160919231,56.1430435344419,1.63299992490973,75.8758601464386,21.2154982443691,294584,1.63,2.91,75.88,21.22,1.63
"76","MO",2008,14124480.48,1527439.4,14793.83,15666713.71,5923.916,0.0944284185812188,2644.65493940157,2.497305836207,90.1559876656481,9.74958391577068,15666714,2.5,0.09,90.16,9.75,2.5
"77","MS",2008,1952.64,2329.33,0,4281.97,2947.806,0,1.45259559143309,0,45.6014404584806,54.3985595415194,4282,0,0,45.6,54.4,0
"78","MT",2008,32902.39,36944.52,1039.61,70886.52,976.415,1.46658349147341,72.5987617969818,1.06472145552864,46.4155808466828,52.1178356618437,70887,1.06,1.47,46.42,52.12,1.06
"79","NC",2008,6717728.97,834274.14,14561.53,7566564.64,9309.449,0.192445722633779,812.783295767558,1.56416668698652,88.7817561814948,11.0257980958714,7566565,1.56,0.19,88.78,11.03,1.56
"80","ND",2008,0,0,648.33,648.33,657.569,100,0.985949763446878,0.985949763446878,0,0,648,0.99,100,0,0,0.99
"81","NE",2008,1792.16,3524.26,3927.23,9243.65,1796.378,42.4857064038556,5.14571543405675,2.18619355169124,19.3880123111541,38.1262812849902,9244,2.19,42.49,19.39,38.13,2.19
"82","NH",2008,2786576.49,331130.43,4543.38,3122250.3,1315.906,0.145516200286697,2372.700101679,3.45266303216187,89.2489782129255,10.6055055867878,3122250,3.45,0.15,89.25,10.61,3.45
"83","NJ",2008,6600357.44,489576.07,4958.4,7094891.91,8711.09,0.0698868997991542,814.466606360398,0.569205461084663,93.0297110051392,6.90040209506166,7094892,0.57,0.07,93.03,6.9,0.57
"84","NM",2008,4447.6,5965.5,7263.27,17676.37,2010.662,41.0902804139085,8.79131848117685,3.61237741599533,25.1612746282184,33.7484449578731,17676,3.61,41.09,25.16,33.75,3.61
"85","NV",2008,234.05,14809.07,15454.08,30497.2,2653.63,50.6737667720315,11.4926346174862,5.82375086202673,0.767447503377359,48.5587857245911,30497,5.82,50.67,0.77,48.56,5.82
"86","NY",2008,6997372.81,749430.78,12354.42,7759158.01,19212.436,0.159223719688111,403.86122873747,0.643042870773909,90.1821151339074,9.65866114640447,7759158,0.64,0.16,90.18,9.66,0.64
"87","OH",2008,18015059.22,1708860.22,8070.58,19731990.02,11515.391,0.0409009937255178,1713.53191741383,0.700851582026177,91.2987448389151,8.66035416735935,19731990,0.7,0.04,91.3,8.66,0.7
"88","OK",2008,1186.99,939.98,3115.11,5242.08,3668.976,59.4250755425327,1.4287583238484,0.849040713267135,22.6434926594024,17.9314317980649,5242,0.85,59.43,22.64,17.93,0.85
"89","OR",2008,524814.27,302197.16,20091.2,847102.63,3768.748,2.37175512015587,224.770303029017,5.33100117068055,61.9540361951184,35.6742086847257,847103,5.33,2.37,61.95,35.67,5.33
"90","PA",2008,2238872.56,772329.9,20690.29,3031892.75,12612.285,0.682421566528038,240.392026504317,1.64048703307926,73.844055334741,25.473523098731,3031893,1.64,0.68,73.84,25.47,1.64
"91","RI",2008,78,2347,940.31,3365.31,1055.003,27.9412594976391,3.1898582278913,0.8912865650619,2.31776567389037,69.7409748284705,3365,0.89,27.94,2.32,69.74,0.89
"92","SC",2008,3475.55,6193.71,3250.91,12920.17,4528.996,25.1615110327496,2.85276692670958,0.717799265002663,26.9001878458256,47.9383011214249,12920,0.72,25.16,26.9,47.94,0.72
"93","SD",2008,0,572,879.82,1451.82,799.124,60.6011764543814,1.81676435697088,1.10098057372823,0,39.3988235456186,1452,1.1,60.6,0,39.4,1.1
"94","TN",2008,292.08,10155.49,12092.4,22539.97,6247.411,53.6486960719114,3.60788973224268,1.93558579706057,1.29583136091131,45.0554725671773,22540,1.94,53.65,1.3,45.06,1.94
"95","TX",2008,18671765.96,1094276.99,9670.24,19775713.19,24309.039,0.0488995765011902,813.512750956547,0.397804290000933,94.4176616064687,5.53343881703009,19775713,0.4,0.05,94.42,5.53,0.4
"96","UT",2008,22701.49,26717.11,6446.05,55864.65,2663.029,11.5386921783274,20.9778601735092,2.42057071102117,40.6365921920213,47.8247156296513,55865,2.42,11.54,40.64,47.82,2.42
"97","VA",2008,14083265,1425448.78,11976.19,15520689.97,7833.496,0.0771627422695049,1981.3235329411,1.52884357124839,90.7386529028129,9.18418435491757,15520690,1.53,0.08,90.74,9.18,1.53
"98","VT",2008,219875.42,70621.02,3486.81,293983.25,624.151,1.18605736891473,471.013024091927,5.58648468079039,74.7918189216562,24.022123709429,293983,5.59,1.19,74.79,24.02,5.59
"99","WA",2008,130485.73,165425.08,17195.23,313106.04,6562.231,5.4918231535872,47.7133523644626,2.6203329325042,41.6746128563984,52.8335639900144,313106,2.62,5.49,41.67,52.83,2.62
"100","WI",2008,7202790.46,1039757.77,14919.93,8257468.16,5640.996,0.180684075444258,1463.83159286055,2.64491057962105,87.2275898669647,12.591726057591,8257468,2.64,0.18,87.23,12.59,2.64
"101","WV",2008,1277.63,1655.04,608.65,3541.32,1840.31,17.1870940779144,1.92430623101543,0.330732322271791,36.0777902025233,46.7351157195622,3541,0.33,17.19,36.08,46.74,0.33
"102","WY",2008,1666.38,2989.71,2135.61,6791.7,546.043,31.4444100887848,12.4380314370846,3.91106561204887,24.5355360219091,44.0200538893061,6792,3.91,31.44,24.54,44.02,3.91
