STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,"79,423.93","81,218.75","89,762.16","80,889.21","94,781.57","105,416.32","112,008.59","129,181.74","126,309.22","115,823.75","109,652.22","100,038.94"
AL,,,,,658.96,"2,485.79","6,634.43","9,521.26","10,543.00","9,977.46","11,797.80","14,241.33"
AR,996.65,"1,206.73","1,269.26","1,445.82","1,382.06",8,8,800.09,872.11,"1,737.10","8,723.15","1,668.50"
AZ,"6,333.37","6,980.87","7,383.27","10,380.26","14,057.56","18,411.25","22,318.65","29,645.05","44,032.85","59,031.78","66,483.94","56,861.38"
CA,"20,276,679.66","20,082,718.48","19,452,836.45","19,095,643.27","18,204,514.85","18,940,276.02","17,838,853.36","18,052,809.23","17,701,780.59","17,569,308.63","16,705,423.60","16,122,748.84"
CO,"21,992,825.69","24,182,900.40","21,095,113.55","18,742,266.67","18,820,319.55","19,267,902.29","18,549,122.13","18,035,909.80","17,755,216.77","18,105,206.85","17,964,522.31","16,457,400.82"
CT,"2,874.84","1,985.86","3,152.59","4,822.66","5,578.56","6,372.31","21,549.90","50,874.70","80,241.60","85,586.12","123,130.64","117,099.40"
DC,,732.36,629.61,184.8,332.23,"1,727.77","3,546.13","4,265.73","9,222.28","9,485.89","10,449.74","11,505.98"
DE,"39,964.25","57,376.89","73,743.37","89,753.27","109,745.27","129,493.68","148,156.85","167,806.22","176,483.90","174,130.96","214,555.74","217,018.27"
FL,"8,039,385.65","8,301,524.51","9,028,726.18","9,232,548.52","9,380,672.31","9,738,023.02","9,521,482.11","9,439,058.04","9,842,764.82","10,028,963.53","9,755,349.98","9,944,711.04"
GA,"14,117,629.75","14,460,115.55","15,110,122.41","14,321,565.18","14,700,163.67","15,000,803.63","14,681,673.20","13,929,282.27","12,869,372.66","13,468,949.41","13,440,658.34","13,665,906.76"
HI,"2,892.23","3,244.23","5,154.78","7,518.77","12,683.85","13,350.64","13,208.44","13,039.35","17,643.83","24,101.03","30,194.62","34,458.29"
IA,"1,213.72","1,951.71","2,714.54","3,817.78","4,178.10","4,309.38","5,519.98","8,090.96","6,886.79","4,303.13","5,108.17","10,200.98"
ID,"4,644.64","4,710.76","4,765.33","6,143.50","6,407.47","9,112.66","11,093.10","14,718.98","15,257.78","15,422.23","16,421.24","14,567.03"
IL,"686,411.86","735,775.96","920,737.45","935,134.49","911,312.40","786,867.40","944,038.45","946,826.09","1,177,503.56","1,281,395.63","1,127,874.13","1,209,497.06"
IN,"74,919.14","7,626.27","9,704.30","13,724.96","19,393.24","32,664.02","37,750.09","48,204.65","55,466.71","67,624.00","72,637.37","68,032.19"
KS,250.42,749,"1,869.36","4,887.37","9,179.79","9,537.42","11,226.90","15,852.43","19,051.11","17,069.96","16,123.88","6,626.39"
KY,"117,259.02","76,976.90","76,927.25","68,413.44","58,747.18","70,540.28","78,440.18","86,161.38","99,595.65","97,413.84","115,167.63","129,683.59"
LA,"49,881.91","53,303.39","58,728.33","71,390.80","81,163.65","98,359.97","101,715.41","109,386.36","109,962.30","104,479.26","102,647.73","97,625.45"
MA,"48,378.10","51,229.45","64,333.05","72,352.47","91,092.86","107,665.45","127,282.86","133,223.43","140,674.77","168,617.48","232,429.02","233,473.01"
MD,"47,397.98","47,959.13","48,841.34","63,027.57","74,120.55","75,360.92","89,731.45","104,085.75","113,778.85","110,105.25","109,556.20","221,125.22"
ME,"82,130.69","76,817.87","74,021.63","88,631.90","114,906.50","124,123.97","122,877.92","132,025.53","136,646.89","136,065.27","126,135.75","83,500.42"
MI,"65,621.64","83,937.28","95,754.44","129,159.89","198,151.04","284,832.91","272,746.16","419,973.01","542,697.93","630,694.91","781,680.17","902,093.81"
