STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,"48,706.76","50,920.35","52,278.05","54,395.32","58,519.66","65,679.13","68,867.58","73,823.62","74,606.28","69,473.78","66,217.06","62,922.15"
AL,,157.33,459.88,547.69,"1,810.06","6,453.45","11,747.74","13,749.96","11,465.23","11,846.23","8,771.22","9,873.67"
AR,892.27,882.83,"1,081.95","1,318.17","1,144.17",125.94,"1,078.21","2,787.48","6,965.83","9,058.30","4,824.97","1,623.57"
AZ,"16,159.29","18,635.98","18,303.18","24,410.52","32,848.92","44,792.72","59,074.04","80,214.06","74,997.94","71,863.70","70,469.77","71,892.05"
CA,"2,031,592.76","2,005,517.01","2,070,667.22","2,198,550.10","2,166,028.35","2,272,768.96","2,388,676.84","2,330,092.84","2,220,498.84","2,165,833.96","2,178,070.92","2,054,263.98"
CO,"2,203,524.91","2,564,428.26","2,285,814.82","2,279,812.02","2,277,201.65","2,290,799.82","2,177,094.68","2,207,491.04","2,083,226.02","1,898,362.52","1,560,670.89","1,598,523.94"
CT,"3,347.21","3,851.71","5,471.25","6,823.23","8,033.77","6,849.69","20,486.04","33,903.03","38,194.71","47,595.20","93,599.78","50,128.49"
DC,,,,,"1,366.16","4,257.53","5,934.43","8,335.80","8,925.18","9,664.33","9,813.66","8,975.52"
DE,"19,561.75","25,709.65","37,560.36","48,117.54","57,886.92","65,524.44","75,629.27","82,037.96","83,489.86","78,225.11","74,403.02","68,113.87"
FL,"1,168,248.81","1,188,745.72","1,297,356.04","1,247,064.73","1,287,687.46","1,289,450.36","1,260,567.42","1,242,022.65","1,245,516.38","1,186,318.43","1,173,282.12","1,211,791.38"
GA,"370,951.41","412,159.15","578,799.07","518,567.58","482,677.65","480,930.15","545,302.04","489,713.84","463,799.45","533,283.65","499,930.03","460,632.48"
HI,"12,167.94","13,159.64","13,292.91","15,488.55","19,606.37","19,391.33","18,107.58","21,582.44","25,424.30","28,641.98","32,067.39","34,821.42"
IA,"1,621.63","2,113.46","2,634.37","3,780.36","6,320.58","8,572.43","13,243.72","21,448.89","15,321.13","7,700.13","12,338.00","9,353.45"
ID,"6,120.91","6,279.71","6,797.91","6,834.92","7,749.54","11,316.83","15,294.81","17,477.57","16,864.87","16,296.75","17,439.22","15,268.86"
IL,"33,285.69","39,678.85","46,856.93","63,152.26","64,148.06","60,573.70","68,420.11","145,486.79","214,051.58","243,183.00","229,367.33","219,382.35"
IN,"8,462.19","11,103.64","14,744.42","23,055.64","36,461.47","48,867.09","61,510.42","66,614.28","66,387.49","68,150.00","63,530.02","56,023.45"
KS,"1,167.72","1,521.34","1,857.82","3,107.42","5,670.63","4,768.33","6,125.65","7,418.78","8,041.30","9,585.41","10,026.43","6,342.37"
KY,"3,259.96","4,568.13","5,312.00","8,190.89","9,276.72","11,795.65","19,416.85","24,748.10","30,952.49","30,049.37","32,458.90","28,653.06"
