Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950-01-01,135,3058,1908,756,10677,1325,2016,806,321,2810,3458,498,2625,590,8738,3967,1916,2936,2697,4686,2355,917,6407,2997,3964,2176,593,4068,619,1327,532,4872,689,162,14865,7980,2229,1532,10507,786,2113,655,3315,7776,696,3315,379,2387,3438,2006,290
1951-01-01,158,3059,1901,785,11134,1326,2028,808,331,2980,3531,514,2617,589,8790,4096,1950,2941,2769,4654,2441,916,6497,3010,4015,2163,596,4120,604,1316,529,5006,717,168,14890,8061,2210,1556,10461,784,2167,655,3372,8111,706,3434,378,2424,3439,1984,291
1952-01-01,189,3068,1838,842,11635,1365,2081,805,341,3157,3584,517,2626,587,8956,4148,1977,2920,2842,4650,2500,915,6650,3030,3972,2152,602,4109,608,1311,535,5125,735,181,15192,8275,2219,1582,10503,802,2178,651,3352,8314,724,3504,375,2448,3469,1957,293
1953-01-01,205,3053,1780,894,12251,1431,2168,810,351,3310,3558,510,2629,596,9065,4182,1994,2903,2866,4806,2567,913,6822,3050,4020,2105,616,4120,609,1318,547,5229,756,195,15527,8591,2182,1601,10662,815,2181,648,3319,8336,739,3557,379,2466,3506,1929,290
1954-01-01,215,3014,1734,933,12746,1493,2249,791,368,3505,3602,505,2626,600,9252,4264,2042,2902,2883,4910,2685,927,7066,3113,4066,2064,624,4131,611,1340,554,5360,763,213,15814,8873,2209,1626,10817,816,2176,655,3359,8382,750,3555,377,2516,3608,1905,293
1955-01-01,222,3050,1725,987,13133,1546,2300,785,389,3747,3636,539,2679,618,9435,4363,2093,2910,2946,4882,2742,934,7285,3172,4134,2060,636,4242,615,1374,557,5502,785,237,15966,9017,2250,1659,10939,823,2200,663,3415,8660,783,3588,375,2604,3679,1880,307
1956-01-01,224,3071,1704,1053,13713,1625,2316,759,408,4047,3701,559,2703,628,9530,4458,2119,2898,3032,4891,2811,938,7467,3240,4163,2086,656,4309,613,1397,566,5615,806,250,16112,9207,2273,1698,10972,840,2229,670,3415,8830,809,3722,377,2668,3742,1857,312
1957-01-01,231,3109,1733,1125,14264,1664,2359,763,426,4372,3766,584,2716,642,9668,4529,2128,2928,3115,4929,2873,943,7569,3274,4189,2088,667,4368,612,1394,572,5737,847,260,16374,9410,2282,1712,10954,851,2274,666,3434,9070,826,3844,376,2724,3791,1843,314
1958-01-01,224,3163,1726,1193,14880,1667,2446,757,433,4630,3804,605,2708,646,9886,4583,2142,2961,3155,5010,2982,944,7667,3313,4186,2086,666,4376,606,1383,581,5890,886,269,16601,9599,2267,1718,11058,858,2304,656,3471,9252,845,3914,380,2773,3843,1845,315
1959-01-01,224,3204,1756,1261,15467,1710,2523,761,441,4808,3868,622,2729,657,9986,4613,2160,2999,3208,5117,3066,957,7767,3366,4258,2138,669,4458,618,1397,596,6015,919,279,16685,9671,2289,1746,11234,857,2348,667,3522,9405,870,3951,387,2821,3891,1855,320
1960-01-01,229,3274,1789,1321,15870,1769,2544,765,449,5004,3956,642,2756,671,10086,4674,2183,3041,3260,5160,3113,975,7834,3425,4326,2182,679,4573,634,1417,609,6103,954,291,16838,9734,2336,1772,11329,855,2392,683,3575,9624,900,3986,389,2855,3962,1853,331
1961-01-01,238,3316,1806,1407,16497,1844,2586,778,461,5243,4015,659,2756,684,10130,4730,2215,3054,3287,5219,3176,995,7893,3470,4349,2206,696,4663,641,1446,618,6265,965,315,17061,9854,2380,1787,11392,858,2409,693,3622,9820,936,4095,390,2882,4009,1828,337
1962-01-01,246,3323,1853,1471,17072,1899,2647,788,469,5458,4086,684,2750,692,10280,4736,2231,3079,3345,5263,3263,994,7933,3513,4357,2243,698,4707,637,1464,632,6376,979,352,17301,9929,2427,1818,11355,871,2423,705,3673,10053,958,4180,393,2942,4049,1809,333
1963-01-01,256,3358,1875,1521,17668,1936,2727,798,483,5628,4172,682,2747,683,10402,4799,2217,3096,3377,5344,3386,993,8058,3531,4392,2244,703,4742,644,1476,649,6531,989,397,17461,9986,2439,1853,11424,876,2460,708,3718,10159,974,4276,397,2955,4112,1796,336
1964-01-01,263,3395,1897,1556,18151,1970,2798,798,497,5781,4258,700,2746,680,10580,4856,2209,3129,3446,5448,3492,993,8187,3558,4442,2241,706,4802,649,1482,663,6660,1006,426,17589,10080,2446,1888,11519,885,2475,701,3771,10270,978,4357,399,2961,4165,1797,339
1965-01-01,271,3443,1894,1584,18585,1985,2857,797,507,5954,4332,704,2742,686,10693,4922,2206,3140,3496,5502,3600,997,8357,3592,4467,2246,706,4863,649,1471,676,6767,1012,444,17734,10201,2440,1937,11620,893,2494,692,3798,10378,994,4411,404,2967,4232,1786,332
1966-01-01,271,3464,1899,1614,18858,2007,2903,791,516,6104,4379,710,2762,689,10836,4999,2200,3147,3550,5535,3695,999,8512,3617,4523,2245,707,4896,647,1456,681,6851,1007,446,17843,10330,2454,1969,11664,899,2520,683,3822,10492,1009,4456,413,3057,4274,1775,323
1967-01-01,278,3458,1901,1646,19176,2053,2935,791,525,6242,4408,723,2793,688,10947,5053,2197,3172,3581,5594,3757,1004,8630,3659,4539,2228,701,4952,626,1457,697,6928,1000,449,17935,10414,2489,1979,11681,909,2533,671,3859,10599,1019,4508,423,3174,4303,1769,322
