"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production"
"1","AK",2007,79423.93,48706.76,2415.76,130546.45
"2","AL",2007,0,0,658.6,658.6
"3","AR",2007,996.65,892.27,1246,3134.92
"4","AZ",2007,6333.37,16159.29,15668.09,38160.75
"5","CA",2007,20276679.66,2031592.76,63557.26,22371829.68
"6","CO",2007,21992825.69,2203524.91,48316.88,24244667.48
"7","CT",2007,2874.84,3347.21,2993.33,9215.38
"8","DC",2007,0,0,2905.21,2905.21
"9","DE",2007,39964.25,19561.75,2396.49,61922.49
"10","FL",2007,8039385.65,1168248.81,8376.9,9216011.36
"11","GA",2007,14117629.75,370951.41,3949.61,14492530.77
"12","HI",2007,2892.23,12167.94,2728.47,17788.64
"13","IA",2007,1213.72,1621.63,6202.53,9037.88
"14","ID",2007,4644.64,6120.91,4246.57,15012.12
"15","IL",2007,686411.86,33285.69,17948.66,737646.21
"16","IN",2007,74919.14,8462.19,7748.24,91129.57
"17","KS",2007,250.42,1167.72,7207.89,8626.03
"18","KY",2007,117259.02,3259.96,4235.65,124754.63
"19","LA",2007,49881.91,25891.84,1455.94,77229.69
"20","MA",2007,48378.1,77178.19,10501.79,136058.08
"21","MD",2007,47397.98,21163.3,8744.83,77306.11
"22","ME",2007,82130.69,38834.04,4725.47,125690.2
"23","MI",2007,65621.64,59678.65,20441.09,145741.38
"24","MN",2007,187203.48,56176.96,8776.75,252157.19
"25","MO",2007,13897374.55,1648121.55,12709.32,15558205.42
"26","MS",2007,61.48,2468.14,0,2529.62
"27","MT",2007,33890.82,34436.33,100.34,68427.49
"28","NC",2007,6954288.19,905166.19,13480.81,7872935.19
"29","ND",2007,0,0,609.06,609.06
"30","NE",2007,1514.32,3623.24,5259.89,10397.45
"31","NH",2007,2735565.87,355237.9,3964.37,3094768.14
"32","NJ",2007,6786713.68,518953.23,5127,7310793.91
"33","NM",2007,3578.14,6123,5818.64,15519.78
"34","NV",2007,216.58,14658.54,15040.24,29915.36
"35","NY",2007,6695785.34,795940.87,11320.37,7503046.58
"36","OH",2007,18093553.98,1684507.38,7119.78,19785181.14
"37","OK",2007,1415.28,561.61,3905.71,5882.6
"38","OR",2007,463171.18,267558.25,16962.21,747691.64
"39","PA",2007,2100671.91,594726.99,20048.89,2715447.79
"40","RI",2007,84.5,3112.5,908.37,4105.37
"41","SC",2007,2663.67,4950.87,3492.61,11107.15
"42","SD",2007,0,907,946.52,1853.52
"43","TN",2007,28.65,8598.27,10370.86,18997.78
"44","TX",2007,18789638.88,1088767.77,7133.91,19885540.56
"45","UT",2007,20537.96,25539.65,6300.55,52378.16
"46","VA",2007,13677700.7,1519072.07,11810.66,15208583.43
"47","VT",2007,197799.34,66877.72,3489.62,268166.68
"48","WA",2007,135954.63,175030,19697.39,330682.02
"49","WI",2007,7394929.6,1129963.27,15433.97,8540326.84
"50","WV",2007,1144.66,853.65,865.02,2863.33
"51","WY",2007,1826.8,2749.59,322.24,4898.63
"52","AK",2008,81218.75,50920.35,2067.69,134206.79
"53","AL",2008,0,157.33,723.53,880.86
"54","AR",2008,1206.73,882.83,1328.35,3417.91
"55","AZ",2008,6980.87,18635.98,14857.81,40474.66
"56","CA",2008,20082718.48,2005517.01,61172.74,22149408.23
"57","CO",2008,24182900.4,2564428.26,48528.59,26795857.25
"58","CT",2008,1985.86,3851.71,2205.67,8043.24
"59","DC",2008,732.36,0,2957.74,3690.1
"60","DE",2008,57376.89,25709.65,2005.33,85091.87
"61","FL",2008,8301524.51,1188745.72,7078.61,9497348.84
"62","GA",2008,14460115.55,412159.15,3751.97,14876026.67
"63","HI",2008,3244.23,13159.64,1875.2,18279.07
"64","IA",2008,1951.71,2113.46,6817.26,10882.43
"65","ID",2008,4710.76,6279.71,3385.1,14375.57
"66","IL",2008,735775.96,39678.85,17941.55,793396.36
"67","IN",2008,7626.27,11103.64,8775.27,27505.18
"68","KS",2008,749,1521.34,7386.89,9657.23
"69","KY",2008,76976.9,4568.13,5205.78,86750.81
"70","LA",2008,53303.39,28163.29,1421.57,82888.25
"71","MA",2008,51229.45,79385.94,10612.91,141228.3
"72","MD",2008,47959.13,23321.62,6787.24,78067.99
"73","ME",2008,76817.87,42649.45,5094.65,124561.97
"74","MI",2008,83937.28,74309.35,21484.83,179731.46
"75","MN",2008,223517.81,62497.37,8568.38,294583.56
"76","MO",2008,14124480.48,1527439.4,14793.83,15666713.71
"77","MS",2008,1952.64,2329.33,0,4281.97
"78","MT",2008,32902.39,36944.52,1039.61,70886.52
"79","NC",2008,6717728.97,834274.14,14561.53,7566564.64
"80","ND",2008,0,0,648.33,648.33
"81","NE",2008,1792.16,3524.26,3927.23,9243.65
"82","NH",2008,2786576.49,331130.43,4543.38,3122250.3
"83","NJ",2008,6600357.44,489576.07,4958.4,7094891.91
"84","NM",2008,4447.6,5965.5,7263.27,17676.37
"85","NV",2008,234.05,14809.07,15454.08,30497.2
"86","NY",2008,6997372.81,749430.78,12354.42,7759158.01
"87","OH",2008,18015059.22,1708860.22,8070.58,19731990.02
"88","OK",2008,1186.99,939.98,3115.11,5242.08
"89","OR",2008,524814.27,302197.16,20091.2,847102.63
"90","PA",2008,2238872.56,772329.9,20690.29,3031892.75
"91","RI",2008,78,2347,940.31,3365.31
"92","SC",2008,3475.55,6193.71,3250.91,12920.17
"93","SD",2008,0,572,879.82,1451.82
"94","TN",2008,292.08,10155.49,12092.4,22539.97
"95","TX",2008,18671765.96,1094276.99,9670.24,19775713.19
"96","UT",2008,22701.49,26717.11,6446.05,55864.65
"97","VA",2008,14083265,1425448.78,11976.19,15520689.97
"98","VT",2008,219875.42,70621.02,3486.81,293983.25
"99","WA",2008,130485.73,165425.08,17195.23,313106.04
"100","WI",2008,7202790.46,1039757.77,14919.93,8257468.16
"101","WV",2008,1277.63,1655.04,608.65,3541.32
"102","WY",2008,1666.38,2989.71,2135.61,6791.7
"103","AK",2009,89762.16,52278.05,2263.65,144303.86
"104","AL",2009,0,459.88,238.6,698.48
"105","AR",2009,1269.26,1081.95,1279.34,3630.55
"106","AZ",2009,7383.27,18303.18,15640.69,41327.14
"107","CA",2009,19452836.45,2070667.22,54504.99,21578008.66
"108","CO",2009,21095113.55,2285814.82,49895.79,23430824.16
"109","CT",2009,3152.59,5471.25,2075.57,10699.41
"110","DC",2009,629.61,0,2948.61,3578.22
"111","DE",2009,73743.37,37560.36,2205.38,113509.11
"112","FL",2009,9028726.18,1297356.04,6426.66,10332508.88
"113","GA",2009,15110122.41,578799.07,3038.61,15691960.09
"114","HI",2009,5154.78,13292.91,1578.85,20026.54
"115","IA",2009,2714.54,2634.37,6487.26,11836.17
"116","ID",2009,4765.33,6797.91,3195.88,14759.12
"117","IL",2009,920737.45,46856.93,17090.05,984684.43
"118","IN",2009,9704.3,14744.42,9190.01,33638.73
"119","KS",2009,1869.36,1857.82,6970.03,10697.21
"120","KY",2009,76927.25,5312,5672.58,87911.83
"121","LA",2009,58728.33,34585.32,1513.57,94827.22
"122","MA",2009,64333.05,84522.98,11547.2,160403.23
"123","MD",2009,48841.34,24036.23,7577.58,80455.15
"124","ME",2009,74021.63,47649.73,5528.07,127199.43
"125","MI",2009,95754.44,94996.8,22590.99,213342.23
"126","MN",2009,221315.48,67335.83,7928.92,296580.23
"127","MO",2009,13429771.56,1382551.86,13213.42,14825536.84
"128","MS",2009,3521.57,3585.07,5.81,7112.45
"129","MT",2009,36322.98,35824.92,1827.57,73975.47
"130","NC",2009,7129633.14,766996.13,14406.8,7911036.07
"131","ND",2009,0,0,626.62,626.62
"132","NE",2009,2575.65,4091.47,5007.46,11674.58
"133","NH",2009,2817627.46,338988.75,4645.59,3161261.8
"134","NJ",2009,6522536.49,487051.21,4944.87,7014532.57
"135","NM",2009,6387.49,7739.68,8925.99,23053.16
"136","NV",2009,700.47,13983.77,14003.16,28687.4
"137","NY",2009,6307846.95,650087.06,12034.5,6969968.51
"138","OH",2009,17920640.25,1895495.69,7718.23,19823854.17
"139","OK",2009,2284.47,2578.47,2621.87,7484.81
"140","OR",2009,581456.86,325659.16,23391.44,930507.46
"141","PA",2009,2262763.16,953285.76,24100.19,3240149.11
"142","RI",2009,76,2430,692.41,3198.41
"143","SC",2009,4733.84,6192.25,2901.18,13827.27
"144","SD",2009,0,559,860.25,1419.25
"145","TN",2009,98.75,10982.71,11977.06,23058.52
"146","TX",2009,19020183.48,1131030.13,9814.02,20161027.63
"147","UT",2009,22586.94,25943.15,5941.77,54471.86
"148","VA",2009,13471382.64,1186492.73,12379.87,14670255.24
"149","VT",2009,217101.35,86533.33,3587.06,307221.74
"150","WA",2009,126287.74,155111.48,17651.64,299050.86
"151","WI",2009,9095536.35,1191461.86,14700.4,10301698.61
"152","WV",2009,734,1725.47,78,2537.47
"153","WY",2009,1851.16,2489.98,2518.9,6860.04
"154","AK",2010,80889.21,54395.32,1929.15,137213.68
"155","AL",2010,0,547.69,161.24,708.93
"156","AR",2010,1445.82,1318.17,1331.85,4095.84
"157","AZ",2010,10380.26,24410.52,16800.24,51591.02
"158","CA",2010,19095643.27,2198550.1,58276.38,21352469.75
"159","CO",2010,18742266.67,2279812.02,50584.87,21072663.56
"160","CT",2010,4822.66,6823.23,1988.38,13634.27
"161","DC",2010,184.8,0,3574.26,3759.06
"162","DE",2010,89753.27,48117.54,2308.99,140179.8
"163","FL",2010,9232548.52,1247064.73,7554.46,10487167.71
"164","GA",2010,14321565.18,518567.58,4165.69,14844298.45
"165","HI",2010,7518.77,15488.55,1680.25,24687.57
"166","IA",2010,3817.78,3780.36,6597.31,14195.45
"167","ID",2010,6143.5,6834.92,4089.04,17067.46
"168","IL",2010,935134.49,63152.26,20051.7,1018338.45
"169","IN",2010,13724.96,23055.64,10589.68,47370.28
"170","KS",2010,4887.37,3107.42,7579.85,15574.64
"171","KY",2010,68413.44,8190.89,5289.92,81894.25
"172","LA",2010,71390.8,43767.95,1775.2,116933.95
"173","MA",2010,72352.47,98121.54,12231.98,182705.99
"174","MD",2010,63027.57,29123.06,7525.49,99676.12
"175","ME",2010,88631.9,58015.64,6978.09,153625.63
"176","MI",2010,129159.89,118799.27,23176.79,271135.95
"177","MN",2010,212445.88,79534.59,8360.51,300340.98
"178","MO",2010,12455434.53,1183200.36,13289.38,13651924.27
"179","MS",2010,5188.87,5258.34,12.58,10459.79
"180","MT",2010,42673.97,41261.22,2944.97,86880.16
"181","NC",2010,6943748.84,903892.92,20184.07,7867825.83
"182","ND",2010,0,0,731.62,731.62
"183","NE",2010,4950.25,5688.77,5392.27,16031.29
"184","NH",2010,2885016.06,341517.58,5272.03,3231805.67
"185","NJ",2010,6920666.14,544599.19,5642.15,7470907.48
"186","NM",2010,9364.7,7838.24,12544.54,29747.48
"187","NV",2010,939.85,14741.33,15618.93,31300.11
"188","NY",2010,6376824.8,583310.58,11614.3,6971749.68
"189","OH",2010,18272288.93,2033529.73,8426,20314244.66
"190","OK",2010,2937.63,3395.64,2580.03,8913.3
"191","OR",2010,659065.27,341505.24,27650,1028220.51
"192","PA",2010,2685440.45,998172.5,26916.15,3710529.1
"193","RI",2010,1613,3236.99,788.29,5638.28
"194","SC",2010,6346.93,7558.6,3091.56,16997.09
"195","SD",2010,97.6,586,1186.62,1870.22
"196","TN",2010,112.1,12988.82,13633.63,26734.55
"197","TX",2010,18985409.81,1143881.77,10556.49,20139848.07
"198","UT",2010,28681.77,29194.74,5226.6,63103.11
"199","VA",2010,12809681.79,1152090.46,12732.37,13974504.62
"200","VT",2010,248184.49,105473.36,3661.94,357319.79
"201","WA",2010,128996.61,195436.87,19965.32,344398.8
"202","WI",2010,10240080.7,1130525.73,16669.97,11387276.4
"203","WV",2010,569.55,2582.42,7.16,3159.13
"204","WY",2010,1649.54,3852.33,2681.61,8183.48
"205","AK",2011,94781.57,58519.66,2251.02,155552.25
"206","AL",2011,658.96,1810.06,0,2469.02
"207","AR",2011,1382.06,1144.17,1124.98,3651.21
"208","AZ",2011,14057.56,32848.92,19897.83,66804.31
"209","CA",2011,18204514.85,2166028.35,65069.7,20435612.9
"210","CO",2011,18820319.55,2277201.65,60811.37,21158332.57
