DATE,ALPOP
1900-01-01,1830.000
1901-01-01,1907.000
1902-01-01,1935.000
1903-01-01,1957.000
1904-01-01,1978.000
1905-01-01,2012.000
1906-01-01,2045.000
1907-01-01,2058.000
1908-01-01,2070.000
1909-01-01,2108.000
1910-01-01,2150.000
1911-01-01,2185.000
1912-01-01,2217.000
1913-01-01,2279.000
1914-01-01,2336.000
1915-01-01,2345.000
1916-01-01,2359.000
1917-01-01,2361.000
1918-01-01,2343.000
1919-01-01,2337.000
1920-01-01,2359.000
1921-01-01,2402.000
1922-01-01,2434.000
1923-01-01,2464.000
1924-01-01,2501.000
1925-01-01,2534.000
1926-01-01,2567.000
1927-01-01,2609.000
1928-01-01,2640.000
1929-01-01,2644.000
1930-01-01,2647.000
1931-01-01,2649.000
1932-01-01,2653.000
1933-01-01,2661.000
1934-01-01,2685.000
1935-01-01,2719.000
1936-01-01,2743.000
1937-01-01,2762.000
1938-01-01,2787.000
1939-01-01,2814.000
1940-01-01,2845.000
1941-01-01,2902.000
1942-01-01,2941.000
1943-01-01,2902.000
1944-01-01,2802.000
1945-01-01,2775.000
1946-01-01,2911.000
1947-01-01,2942.000
1948-01-01,2969.000
1949-01-01,3000.000
1950-01-01,3058.000
1951-01-01,3059.000
1952-01-01,3068.000
1953-01-01,3053.000
1954-01-01,3014.000
1955-01-01,3050.000
1956-01-01,3071.000
1957-01-01,3109.000
1958-01-01,3163.000
1959-01-01,3204.000
1960-01-01,3274.000
1961-01-01,3316.000
1962-01-01,3323.000
1963-01-01,3358.000
1964-01-01,3395.000
1965-01-01,3443.000
1966-01-01,3464.000
1967-01-01,3458.000
1968-01-01,3446.000
1969-01-01,3440.000
1970-01-01,3444.354
1971-01-01,3497.076
1972-01-01,3539.400
1973-01-01,3579.780
1974-01-01,3626.499
1975-01-01,3678.814
1976-01-01,3735.139
1977-01-01,3780.403
1978-01-01,3831.836
1979-01-01,3866.248
1980-01-01,3900.368
1981-01-01,3918.531
1982-01-01,3925.266
1983-01-01,3934.102
1984-01-01,3951.820
1985-01-01,3972.523
1986-01-01,3991.569
1987-01-01,4015.264
1988-01-01,4023.844
1989-01-01,4030.222
1990-01-01,4048.508
1991-01-01,4091.025
1992-01-01,4139.269
1993-01-01,4193.114
1994-01-01,4232.965
1995-01-01,4262.731
1996-01-01,4290.403
1997-01-01,4320.281
1998-01-01,4351.037
1999-01-01,4369.862
2000-01-01,4452.173
2001-01-01,4467.634
2002-01-01,4480.089
2003-01-01,4503.491
2004-01-01,4530.729
2005-01-01,4569.805
2006-01-01,4628.981
2007-01-01,4672.840
2008-01-01,4718.206
2009-01-01,4757.938
2010-01-01,4785.448
2011-01-01,4798.834
2012-01-01,4815.564
2013-01-01,4830.46
2014-01-01,4842.481
2015-01-01,4853.16
2016-01-01,4864.745
2017-01-01,4875.12
2018-01-01,4887.871
