DATE,ARPOP
1900-01-01,1314.000
1901-01-01,1341.000
1902-01-01,1360.000
1903-01-01,1384.000
1904-01-01,1419.000
1905-01-01,1447.000
1906-01-01,1465.000
1907-01-01,1484.000
1908-01-01,1513.000
1909-01-01,1545.000
1910-01-01,1583.000
1911-01-01,1610.000
1912-01-01,1636.000
1913-01-01,1664.000
1914-01-01,1688.000
1915-01-01,1702.000
1916-01-01,1719.000
1917-01-01,1737.000
1918-01-01,1749.000
1919-01-01,1742.000
1920-01-01,1756.000
1921-01-01,1769.000
1922-01-01,1772.000
1923-01-01,1784.000
1924-01-01,1800.000
1925-01-01,1812.000
1926-01-01,1826.000
1927-01-01,1840.000
1928-01-01,1847.000
1929-01-01,1852.000
1930-01-01,1859.000
1931-01-01,1848.000
1932-01-01,1836.000
1933-01-01,1854.000
1934-01-01,1878.000
1935-01-01,1890.000
1936-01-01,1892.000
1937-01-01,1903.000
1938-01-01,1928.000
1939-01-01,1948.000
1940-01-01,1955.000
1941-01-01,1969.000
1942-01-01,1977.000
1943-01-01,1843.000
1944-01-01,1768.000
1945-01-01,1762.000
1946-01-01,1797.000
1947-01-01,1836.000
1948-01-01,1825.000
1949-01-01,1844.000
1950-01-01,1908.000
1951-01-01,1901.000
1952-01-01,1838.000
1953-01-01,1780.000
1954-01-01,1734.000
1955-01-01,1725.000
1956-01-01,1704.000
1957-01-01,1733.000
1958-01-01,1726.000
1959-01-01,1756.000
1960-01-01,1789.000
1961-01-01,1806.000
1962-01-01,1853.000
1963-01-01,1875.000
1964-01-01,1897.000
1965-01-01,1894.000
1966-01-01,1899.000
1967-01-01,1901.000
1968-01-01,1902.000
1969-01-01,1913.000
1970-01-01,1923.322
1971-01-01,1972.312
1972-01-01,2018.638
1973-01-01,2059.256
1974-01-01,2101.403
1975-01-01,2159.526
1976-01-01,2170.161
1977-01-01,2209.010
1978-01-01,2243.127
1979-01-01,2271.333
1980-01-01,2288.738
1981-01-01,2293.201
1982-01-01,2294.257
1983-01-01,2305.761
1984-01-01,2319.768
1985-01-01,2327.046
1986-01-01,2331.984
1987-01-01,2342.355
1988-01-01,2342.656
1989-01-01,2346.358
1990-01-01,2354.343
1991-01-01,2370.666
1992-01-01,2394.098
1993-01-01,2423.743
1994-01-01,2450.605
1995-01-01,2480.121
1996-01-01,2504.858
1997-01-01,2524.007
1998-01-01,2538.202
1999-01-01,2551.373
2000-01-01,2678.588
2001-01-01,2691.571
2002-01-01,2705.927
2003-01-01,2724.816
2004-01-01,2749.686
2005-01-01,2781.097
2006-01-01,2821.761
2007-01-01,2848.650
2008-01-01,2874.554
2009-01-01,2896.843
2010-01-01,2921.978
2011-01-01,2940.407
2012-01-01,2952.109
2013-01-01,2959.549
2014-01-01,2967.726
2015-01-01,2978.407
2016-01-01,2990.41
2017-01-01,3002.997
2018-01-01,3013.825
