DATE,AZPOP
1900-01-01,124.000
1901-01-01,131.000
1902-01-01,138.000
1903-01-01,144.000
1904-01-01,151.000
1905-01-01,158.000
1906-01-01,167.000
1907-01-01,176.000
1908-01-01,186.000
1909-01-01,196.000
1910-01-01,206.000
1911-01-01,212.000
1912-01-01,217.000
1913-01-01,236.000
1914-01-01,253.000
1915-01-01,263.000
1916-01-01,282.000
1917-01-01,311.000
1918-01-01,320.000
1919-01-01,329.000
1920-01-01,340.000
1921-01-01,351.000
1922-01-01,360.000
1923-01-01,371.000
1924-01-01,382.000
1925-01-01,393.000
1926-01-01,403.000
1927-01-01,414.000
1928-01-01,422.000
1929-01-01,430.000
1930-01-01,434.000
1931-01-01,429.000
1932-01-01,426.000
1933-01-01,426.000
1934-01-01,428.000
1935-01-01,434.000
1936-01-01,443.000
1937-01-01,453.000
1938-01-01,466.000
1939-01-01,484.000
1940-01-01,499.000
1941-01-01,490.000
1942-01-01,524.000
1943-01-01,692.000
1944-01-01,610.000
1945-01-01,594.000
1946-01-01,616.000
1947-01-01,653.000
1948-01-01,690.000
1949-01-01,714.000
1950-01-01,756.000
1951-01-01,785.000
1952-01-01,842.000
1953-01-01,894.000
1954-01-01,933.000
1955-01-01,987.000
1956-01-01,1053.000
1957-01-01,1125.000
1958-01-01,1193.000
1959-01-01,1261.000
1960-01-01,1321.000
1961-01-01,1407.000
1962-01-01,1471.000
1963-01-01,1521.000
1964-01-01,1556.000
1965-01-01,1584.000
1966-01-01,1614.000
1967-01-01,1646.000
1968-01-01,1682.000
1969-01-01,1737.000
1970-01-01,1775.399
1971-01-01,1895.814
1972-01-01,2008.291
1973-01-01,2124.438
1974-01-01,2223.196
1975-01-01,2284.847
1976-01-01,2346.157
1977-01-01,2425.197
1978-01-01,2515.316
1979-01-01,2635.571
1980-01-01,2737.774
1981-01-01,2810.107
1982-01-01,2889.861
1983-01-01,2968.925
1984-01-01,3067.135
1985-01-01,3183.538
1986-01-01,3308.262
1987-01-01,3437.103
1988-01-01,3535.183
1989-01-01,3622.185
1990-01-01,3679.056
1991-01-01,3762.394
1992-01-01,3867.333
1993-01-01,3993.390
1994-01-01,4147.561
1995-01-01,4306.908
1996-01-01,4432.308
1997-01-01,4552.207
1998-01-01,4667.277
1999-01-01,4778.332
2000-01-01,5160.586
2001-01-01,5273.477
2002-01-01,5396.255
2003-01-01,5510.364
2004-01-01,5652.404
2005-01-01,5839.077
2006-01-01,6029.141
2007-01-01,6167.681
2008-01-01,6280.362
2009-01-01,6343.154
2010-01-01,6407.774
2011-01-01,6473.497
2012-01-01,6556.629
2013-01-01,6634.999
2014-01-01,6733.84
2015-01-01,6833.596
2016-01-01,6945.452
2017-01-01,7048.876
2018-01-01,7171.646
