DATE,CAPOP
1900-01-01,1490.000
1901-01-01,1550.000
1902-01-01,1623.000
1903-01-01,1702.000
1904-01-01,1792.000
1905-01-01,1893.000
1906-01-01,1976.000
1907-01-01,2054.000
1908-01-01,2161.000
1909-01-01,2282.000
1910-01-01,2406.000
1911-01-01,2534.000
1912-01-01,2668.000
1913-01-01,2811.000
1914-01-01,2934.000
1915-01-01,3008.000
1916-01-01,3071.000
1917-01-01,3171.000
1918-01-01,3262.000
1919-01-01,3339.000
1920-01-01,3554.000
1921-01-01,3795.000
1922-01-01,3991.000
1923-01-01,4270.000
1924-01-01,4541.000
1925-01-01,4730.000
1926-01-01,4929.000
1927-01-01,5147.000
1928-01-01,5344.000
1929-01-01,5531.000
1930-01-01,5711.000
1931-01-01,5824.000
1932-01-01,5894.000
1933-01-01,5963.000
1934-01-01,6060.000
1935-01-01,6175.000
1936-01-01,6341.000
1937-01-01,6528.000
1938-01-01,6656.000
1939-01-01,6785.000
1940-01-01,6950.000
1941-01-01,7237.000
1942-01-01,7735.000
1943-01-01,8506.000
1944-01-01,8945.000
1945-01-01,9344.000
1946-01-01,9559.000
1947-01-01,9832.000
1948-01-01,10064.000
1949-01-01,10337.000
1950-01-01,10677.000
1951-01-01,11134.000
1952-01-01,11635.000
1953-01-01,12251.000
1954-01-01,12746.000
1955-01-01,13133.000
1956-01-01,13713.000
1957-01-01,14264.000
1958-01-01,14880.000
1959-01-01,15467.000
1960-01-01,15870.000
1961-01-01,16497.000
1962-01-01,17072.000
1963-01-01,17668.000
1964-01-01,18151.000
1965-01-01,18585.000
1966-01-01,18858.000
1967-01-01,19176.000
1968-01-01,19394.000
1969-01-01,19711.000
1970-01-01,19971.069
1971-01-01,20345.939
1972-01-01,20585.469
1973-01-01,20868.728
1974-01-01,21173.865
1975-01-01,21537.849
1976-01-01,21935.909
1977-01-01,22352.396
1978-01-01,22835.958
1979-01-01,23256.880
1980-01-01,23800.800
1981-01-01,24285.933
1982-01-01,24820.009
1983-01-01,25360.026
1984-01-01,25844.393
1985-01-01,26441.109
1986-01-01,27102.237
1987-01-01,27777.158
1988-01-01,28464.249
1989-01-01,29218.164
1990-01-01,29950.111
1991-01-01,30414.114
1992-01-01,30875.920
1993-01-01,31147.208
1994-01-01,31317.179
1995-01-01,31493.525
1996-01-01,31780.829
1997-01-01,32217.708
1998-01-01,32682.794
1999-01-01,33145.121
2000-01-01,33987.977
2001-01-01,34479.458
2002-01-01,34871.843
2003-01-01,35253.159
2004-01-01,35574.576
2005-01-01,35827.943
2006-01-01,36021.202
2007-01-01,36250.311
2008-01-01,36604.337
2009-01-01,36961.229
2010-01-01,37320.903
2011-01-01,37641.823
2012-01-01,37960.782
2013-01-01,38280.824
2014-01-01,38625.139
2015-01-01,38953.142
2016-01-01,39209.127
2017-01-01,39399.349
2018-01-01,39557.045
