DATE,COPOP
1900-01-01,543.000
1901-01-01,581.000
1902-01-01,621.000
1903-01-01,652.000
1904-01-01,659.000
1905-01-01,680.000
1906-01-01,707.000
1907-01-01,733.000
1908-01-01,757.000
1909-01-01,775.000
1910-01-01,804.000
1911-01-01,821.000
1912-01-01,832.000
1913-01-01,835.000
1914-01-01,846.000
1915-01-01,868.000
1916-01-01,892.000
1917-01-01,910.000
1918-01-01,906.000
1919-01-01,938.000
1920-01-01,937.000
1921-01-01,961.000
1922-01-01,965.000
1923-01-01,984.000
1924-01-01,1014.000
1925-01-01,1019.000
1926-01-01,1016.000
1927-01-01,1028.000
1928-01-01,1014.000
1929-01-01,1008.000
1930-01-01,1040.000
1931-01-01,1056.000
1932-01-01,1066.000
1933-01-01,1071.000
1934-01-01,1075.000
1935-01-01,1078.000
1936-01-01,1090.000
1937-01-01,1104.000
1938-01-01,1112.000
1939-01-01,1120.000
1940-01-01,1130.000
1941-01-01,1124.000
1942-01-01,1113.000
1943-01-01,1153.000
1944-01-01,1137.000
1945-01-01,1116.000
1946-01-01,1203.000
1947-01-01,1237.000
1948-01-01,1263.000
1949-01-01,1295.000
1950-01-01,1325.000
1951-01-01,1326.000
1952-01-01,1365.000
1953-01-01,1431.000
1954-01-01,1493.000
1955-01-01,1546.000
1956-01-01,1625.000
1957-01-01,1664.000
1958-01-01,1667.000
1959-01-01,1710.000
1960-01-01,1769.000
1961-01-01,1844.000
1962-01-01,1899.000
1963-01-01,1936.000
1964-01-01,1970.000
1965-01-01,1985.000
1966-01-01,2007.000
1967-01-01,2053.000
1968-01-01,2120.000
1969-01-01,2166.000
1970-01-01,2209.596
1971-01-01,2303.524
1972-01-01,2404.619
1973-01-01,2495.868
1974-01-01,2541.406
1975-01-01,2586.192
1976-01-01,2632.306
1977-01-01,2696.140
1978-01-01,2766.748
1979-01-01,2849.234
1980-01-01,2908.803
1981-01-01,2977.898
1982-01-01,3061.564
1983-01-01,3133.630
1984-01-01,3169.992
1985-01-01,3208.723
1986-01-01,3237.450
1987-01-01,3260.480
1988-01-01,3262.281
1989-01-01,3275.818
1990-01-01,3303.862
1991-01-01,3367.567
1992-01-01,3459.995
1993-01-01,3560.884
1994-01-01,3653.910
1995-01-01,3738.061
1996-01-01,3812.716
1997-01-01,3891.293
1998-01-01,3968.967
1999-01-01,4056.133
2000-01-01,4326.921
2001-01-01,4425.687
2002-01-01,4490.406
2003-01-01,4528.732
2004-01-01,4575.013
2005-01-01,4631.888
2006-01-01,4720.423
2007-01-01,4803.868
2008-01-01,4889.730
2009-01-01,4972.195
2010-01-01,5048.281
2011-01-01,5121.771
2012-01-01,5193.721
2013-01-01,5270.482
2014-01-01,5351.218
2015-01-01,5452.107
2016-01-01,5540.921
2017-01-01,5615.902
2018-01-01,5695.564
