DATE,DCPOP
1900-01-01,278.000
1901-01-01,285.000
1902-01-01,290.000
1903-01-01,295.000
1904-01-01,302.000
1905-01-01,308.000
1906-01-01,313.000
1907-01-01,317.000
1908-01-01,321.000
1909-01-01,327.000
1910-01-01,334.000
1911-01-01,344.000
1912-01-01,340.000
1913-01-01,358.000
1914-01-01,368.000
1915-01-01,361.000
1916-01-01,360.000
1917-01-01,385.000
1918-01-01,418.000
1919-01-01,445.000
1920-01-01,440.000
1921-01-01,446.000
1922-01-01,450.000
1923-01-01,453.000
1924-01-01,456.000
1925-01-01,461.000
1926-01-01,469.000
1927-01-01,476.000
1928-01-01,479.000
1929-01-01,483.000
1930-01-01,488.000
1931-01-01,504.000
1932-01-01,513.000
1933-01-01,529.000
1934-01-01,568.000
1935-01-01,608.000
1936-01-01,629.000
1937-01-01,616.000
1938-01-01,638.000
1939-01-01,658.000
1940-01-01,690.000
1941-01-01,764.000
1942-01-01,851.000
1943-01-01,900.000
1944-01-01,881.000
1945-01-01,876.000
1946-01-01,899.000
1947-01-01,888.000
1948-01-01,840.000
1949-01-01,807.000
1950-01-01,806.000
1951-01-01,808.000
1952-01-01,805.000
1953-01-01,810.000
1954-01-01,791.000
1955-01-01,785.000
1956-01-01,759.000
1957-01-01,763.000
1958-01-01,757.000
1959-01-01,761.000
1960-01-01,765.000
1961-01-01,778.000
1962-01-01,788.000
1963-01-01,798.000
1964-01-01,798.000
1965-01-01,797.000
1966-01-01,791.000
1967-01-01,791.000
1968-01-01,778.000
1969-01-01,762.000
1970-01-01,756.668
1971-01-01,749.781
1972-01-01,742.241
1973-01-01,731.488
1974-01-01,717.947
1975-01-01,706.871
1976-01-01,692.295
1977-01-01,677.228
1978-01-01,665.052
1979-01-01,650.016
1980-01-01,638.284
1981-01-01,636.893
1982-01-01,634.174
1983-01-01,632.433
1984-01-01,633.382
1985-01-01,634.549
1986-01-01,638.269
1987-01-01,636.930
1988-01-01,630.432
1989-01-01,624.168
1990-01-01,603.814
1991-01-01,593.239
1992-01-01,584.183
1993-01-01,576.358
1994-01-01,564.982
1995-01-01,551.273
1996-01-01,538.273
1997-01-01,528.752
1998-01-01,521.426
1999-01-01,519.000
2000-01-01,572.046
2001-01-01,574.504
2002-01-01,573.158
2003-01-01,568.502
2004-01-01,567.754
2005-01-01,567.136
2006-01-01,570.681
2007-01-01,574.404
2008-01-01,580.236
2009-01-01,592.228
2010-01-01,605.085
2011-01-01,619.602
2012-01-01,634.725
2013-01-01,650.431
2014-01-01,662.513
2015-01-01,675.254
2016-01-01,686.575
2017-01-01,695.691
2018-01-01,702.455
