DATE,DEPOP
1900-01-01,185.000
1901-01-01,187.000
1902-01-01,188.000
1903-01-01,190.000
1904-01-01,192.000
1905-01-01,194.000
1906-01-01,196.000
1907-01-01,197.000
1908-01-01,199.000
1909-01-01,201.000
1910-01-01,203.000
1911-01-01,207.000
1912-01-01,209.000
1913-01-01,213.000
1914-01-01,216.000
1915-01-01,217.000
1916-01-01,219.000
1917-01-01,222.000
1918-01-01,220.000
1919-01-01,221.000
1920-01-01,219.000
1921-01-01,216.000
1922-01-01,214.000
1923-01-01,215.000
1924-01-01,219.000
1925-01-01,222.000
1926-01-01,225.000
1927-01-01,229.000
1928-01-01,233.000
1929-01-01,236.000
1930-01-01,239.000
1931-01-01,242.000
1932-01-01,245.000
1933-01-01,248.000
1934-01-01,250.000
1935-01-01,252.000
1936-01-01,253.000
1937-01-01,254.000
1938-01-01,257.000
1939-01-01,263.000
1940-01-01,269.000
1941-01-01,275.000
1942-01-01,279.000
1943-01-01,282.000
1944-01-01,285.000
1945-01-01,286.000
1946-01-01,299.000
1947-01-01,305.000
1948-01-01,312.000
1949-01-01,316.000
1950-01-01,321.000
1951-01-01,331.000
1952-01-01,341.000
1953-01-01,351.000
1954-01-01,368.000
1955-01-01,389.000
1956-01-01,408.000
1957-01-01,426.000
1958-01-01,433.000
1959-01-01,441.000
1960-01-01,449.000
1961-01-01,461.000
1962-01-01,469.000
1963-01-01,483.000
1964-01-01,497.000
1965-01-01,507.000
1966-01-01,516.000
1967-01-01,525.000
1968-01-01,534.000
1969-01-01,540.000
1970-01-01,548.104
1971-01-01,564.708
1972-01-01,572.913
1973-01-01,577.759
1974-01-01,581.418
1975-01-01,586.589
1976-01-01,590.166
1977-01-01,591.829
1978-01-01,594.776
1979-01-01,594.984
1980-01-01,594.919
1981-01-01,595.975
1982-01-01,599.148
1983-01-01,605.458
1984-01-01,611.565
1985-01-01,618.280
1986-01-01,627.559
1987-01-01,636.947
1988-01-01,647.622
1989-01-01,658.273
1990-01-01,669.063
1991-01-01,680.495
1992-01-01,690.158
1993-01-01,699.475
1994-01-01,708.416
1995-01-01,718.265
1996-01-01,727.090
1997-01-01,735.024
1998-01-01,744.066
1999-01-01,753.538
2000-01-01,786.373
2001-01-01,795.699
2002-01-01,806.169
2003-01-01,818.003
2004-01-01,830.803
2005-01-01,845.150
2006-01-01,859.268
2007-01-01,871.749
2008-01-01,883.874
2009-01-01,891.730
2010-01-01,899.595
2011-01-01,907.316
2012-01-01,915.188
2013-01-01,923.638
2014-01-01,932.596
2015-01-01,941.413
2016-01-01,949.216
2017-01-01,957.078
2018-01-01,967.171
