DATE,FLPOP
1900-01-01,530.000
1901-01-01,544.000
1902-01-01,565.000
1903-01-01,587.000
1904-01-01,599.000
1905-01-01,615.000
1906-01-01,628.000
1907-01-01,645.000
1908-01-01,684.000
1909-01-01,724.000
1910-01-01,756.000
1911-01-01,773.000
1912-01-01,801.000
1913-01-01,828.000
1914-01-01,871.000
1915-01-01,922.000
1916-01-01,924.000
1917-01-01,895.000
1918-01-01,865.000
1919-01-01,898.000
1920-01-01,962.000
1921-01-01,997.000
1922-01-01,1044.000
1923-01-01,1097.000
1924-01-01,1160.000
1925-01-01,1264.000
1926-01-01,1368.000
1927-01-01,1418.000
1928-01-01,1433.000
1929-01-01,1445.000
1930-01-01,1471.000
1931-01-01,1493.000
1932-01-01,1521.000
1933-01-01,1552.000
1934-01-01,1585.000
1935-01-01,1613.000
1936-01-01,1651.000
1937-01-01,1709.000
1938-01-01,1771.000
1939-01-01,1836.000
1940-01-01,1915.000
1941-01-01,2017.000
1942-01-01,2151.000
1943-01-01,2451.000
1944-01-01,2420.000
1945-01-01,2465.000
1946-01-01,2440.000
1947-01-01,2528.000
1948-01-01,2578.000
1949-01-01,2668.000
1950-01-01,2810.000
1951-01-01,2980.000
1952-01-01,3157.000
1953-01-01,3310.000
1954-01-01,3505.000
1955-01-01,3747.000
1956-01-01,4047.000
1957-01-01,4372.000
1958-01-01,4630.000
1959-01-01,4808.000
1960-01-01,5004.000
1961-01-01,5243.000
1962-01-01,5458.000
1963-01-01,5628.000
1964-01-01,5781.000
1965-01-01,5954.000
1966-01-01,6104.000
1967-01-01,6242.000
1968-01-01,6433.000
1969-01-01,6641.000
1970-01-01,6791.418
1971-01-01,7158.304
1972-01-01,7511.463
1973-01-01,7913.696
1974-01-01,8298.762
1975-01-01,8518.422
1976-01-01,8667.379
1977-01-01,8856.183
1978-01-01,9102.032
1979-01-01,9426.159
1980-01-01,9839.835
1981-01-01,10192.774
1982-01-01,10471.407
1983-01-01,10749.851
1984-01-01,11039.925
1985-01-01,11351.118
1986-01-01,11667.505
1987-01-01,11997.283
1988-01-01,12306.395
1989-01-01,12637.715
1990-01-01,13018.365
1991-01-01,13289.497
1992-01-01,13504.775
1993-01-01,13713.593
1994-01-01,13961.798
1995-01-01,14185.403
1996-01-01,14426.911
1997-01-01,14683.350
1998-01-01,14908.230
1999-01-01,15111.244
2000-01-01,16047.515
2001-01-01,16356.966
2002-01-01,16689.370
2003-01-01,17004.085
2004-01-01,17415.318
2005-01-01,17842.038
2006-01-01,18166.990
2007-01-01,18367.842
2008-01-01,18527.305
2009-01-01,18652.644
2010-01-01,18845.785
2011-01-01,19093.352
2012-01-01,19326.23
2013-01-01,19563.166
2014-01-01,19860.33
2015-01-01,20224.249
2016-01-01,20629.982
2017-01-01,20976.812
2018-01-01,21299.325
