DATE,GAPOP
1900-01-01,2220.000
1901-01-01,2263.000
1902-01-01,2305.000
1903-01-01,2346.000
1904-01-01,2387.000
1905-01-01,2427.000
1906-01-01,2466.000
1907-01-01,2505.000
1908-01-01,2543.000
1909-01-01,2580.000
1910-01-01,2618.000
1911-01-01,2644.000
1912-01-01,2676.000
1913-01-01,2733.000
1914-01-01,2776.000
1915-01-01,2810.000
1916-01-01,2856.000
1917-01-01,2885.000
1918-01-01,2941.000
1919-01-01,2870.000
1920-01-01,2926.000
1921-01-01,2965.000
1922-01-01,2965.000
1923-01-01,2954.000
1924-01-01,2920.000
1925-01-01,2883.000
1926-01-01,2869.000
1927-01-01,2891.000
1928-01-01,2903.000
1929-01-01,2903.000
1930-01-01,2910.000
1931-01-01,2924.000
1932-01-01,2935.000
1933-01-01,2950.000
1934-01-01,2964.000
1935-01-01,2955.000
1936-01-01,2978.000
1937-01-01,3037.000
1938-01-01,3091.000
1939-01-01,3120.000
1940-01-01,3119.000
1941-01-01,3179.000
1942-01-01,3209.000
1943-01-01,3245.000
1944-01-01,3176.000
1945-01-01,3119.000
1946-01-01,3242.000
1947-01-01,3272.000
1948-01-01,3259.000
1949-01-01,3325.000
1950-01-01,3458.000
1951-01-01,3531.000
1952-01-01,3584.000
1953-01-01,3558.000
1954-01-01,3602.000
1955-01-01,3636.000
1956-01-01,3701.000
1957-01-01,3766.000
1958-01-01,3804.000
1959-01-01,3868.000
1960-01-01,3956.000
1961-01-01,4015.000
1962-01-01,4086.000
1963-01-01,4172.000
1964-01-01,4258.000
1965-01-01,4332.000
1966-01-01,4379.000
1967-01-01,4408.000
1968-01-01,4482.000
1969-01-01,4551.000
1970-01-01,4587.930
1971-01-01,4711.550
1972-01-01,4809.490
1973-01-01,4910.374
1974-01-01,4999.419
1975-01-01,5064.075
1976-01-01,5132.812
1977-01-01,5219.697
1978-01-01,5295.751
1979-01-01,5401.384
1980-01-01,5486.174
1981-01-01,5568.345
1982-01-01,5649.792
1983-01-01,5728.250
1984-01-01,5834.954
1985-01-01,5962.661
1986-01-01,6084.666
1987-01-01,6208.467
1988-01-01,6316.142
1989-01-01,6411.099
1990-01-01,6506.531
1991-01-01,6621.279
1992-01-01,6759.474
1993-01-01,6894.092
1994-01-01,7045.900
1995-01-01,7188.538
1996-01-01,7332.225
1997-01-01,7486.094
1998-01-01,7636.522
1999-01-01,7788.240
2000-01-01,8227.303
2001-01-01,8377.038
2002-01-01,8508.256
2003-01-01,8622.793
2004-01-01,8769.252
2005-01-01,8925.922
2006-01-01,9155.813
2007-01-01,9349.988
2008-01-01,9504.843
2009-01-01,9620.846
2010-01-01,9711.81
2011-01-01,9801.578
2012-01-01,9901.496
2013-01-01,9973.326
2014-01-01,10069.001
2015-01-01,10181.111
2016-01-01,10304.763
2017-01-01,10413.055
2018-01-01,10519.475
