DATE,IAPOP
1900-01-01,2231.000
1901-01-01,2227.000
1902-01-01,2222.000
1903-01-01,2217.000
1904-01-01,2212.000
1905-01-01,2211.000
1906-01-01,2214.000
1907-01-01,2217.000
1908-01-01,2220.000
1909-01-01,2223.000
1910-01-01,2228.000
1911-01-01,2249.000
1912-01-01,2279.000
1913-01-01,2305.000
1914-01-01,2338.000
1915-01-01,2366.000
1916-01-01,2376.000
1917-01-01,2382.000
1918-01-01,2351.000
1919-01-01,2379.000
1920-01-01,2400.000
1921-01-01,2407.000
1922-01-01,2428.000
1923-01-01,2425.000
1924-01-01,2420.000
1925-01-01,2427.000
1926-01-01,2432.000
1927-01-01,2441.000
1928-01-01,2450.000
1929-01-01,2460.000
1930-01-01,2475.000
1931-01-01,2482.000
1932-01-01,2489.000
1933-01-01,2495.000
1934-01-01,2510.000
1935-01-01,2524.000
1936-01-01,2509.000
1937-01-01,2498.000
1938-01-01,2494.000
1939-01-01,2520.000
1940-01-01,2537.000
1941-01-01,2491.000
1942-01-01,2439.000
1943-01-01,2334.000
1944-01-01,2301.000
1945-01-01,2308.000
1946-01-01,2467.000
1947-01-01,2509.000
1948-01-01,2543.000
1949-01-01,2578.000
1950-01-01,2625.000
1951-01-01,2617.000
1952-01-01,2626.000
1953-01-01,2629.000
1954-01-01,2626.000
1955-01-01,2679.000
1956-01-01,2703.000
1957-01-01,2716.000
1958-01-01,2708.000
1959-01-01,2729.000
1960-01-01,2756.000
1961-01-01,2756.000
1962-01-01,2750.000
1963-01-01,2747.000
1964-01-01,2746.000
1965-01-01,2742.000
1966-01-01,2762.000
1967-01-01,2793.000
1968-01-01,2803.000
1969-01-01,2805.000
1970-01-01,2825.368
1971-01-01,2851.705
1972-01-01,2860.287
1973-01-01,2863.715
1974-01-01,2867.530
1975-01-01,2880.847
1976-01-01,2903.082
1977-01-01,2913.573
1978-01-01,2918.069
1979-01-01,2915.739
1980-01-01,2914.018
1981-01-01,2907.983
1982-01-01,2888.189
1983-01-01,2870.543
1984-01-01,2858.618
1985-01-01,2829.684
1986-01-01,2791.970
1987-01-01,2767.011
1988-01-01,2768.388
1989-01-01,2770.592
1990-01-01,2779.769
1991-01-01,2791.227
1992-01-01,2806.923
1993-01-01,2820.525
1994-01-01,2829.422
1995-01-01,2840.860
1996-01-01,2848.473
1997-01-01,2854.396
1998-01-01,2861.025
1999-01-01,2869.413
2000-01-01,2929.067
2001-01-01,2931.997
2002-01-01,2934.234
2003-01-01,2941.999
2004-01-01,2953.635
2005-01-01,2964.454
2006-01-01,2982.644
2007-01-01,2999.212
2008-01-01,3016.734
2009-01-01,3032.870
2010-01-01,3050.767
2011-01-01,3066.054
2012-01-01,3076.097
2013-01-01,3093.078
2014-01-01,3109.504
2015-01-01,3121.46
2016-01-01,3131.785
2017-01-01,3143.637
2018-01-01,3156.145
