DATE,IDPOP
1900-01-01,163.000
1901-01-01,176.000
1902-01-01,199.000
1903-01-01,216.000
1904-01-01,229.000
1905-01-01,246.000
1906-01-01,262.000
1907-01-01,277.000
1908-01-01,291.000
1909-01-01,311.000
1910-01-01,329.000
1911-01-01,343.000
1912-01-01,359.000
1913-01-01,371.000
1914-01-01,384.000
1915-01-01,394.000
1916-01-01,405.000
1917-01-01,413.000
1918-01-01,405.000
1919-01-01,424.000
1920-01-01,433.000
1921-01-01,435.000
1922-01-01,436.000
1923-01-01,436.000
1924-01-01,434.000
1925-01-01,436.000
1926-01-01,441.000
1927-01-01,447.000
1928-01-01,449.000
1929-01-01,447.000
1930-01-01,447.000
1931-01-01,454.000
1932-01-01,459.000
1933-01-01,464.000
1934-01-01,473.000
1935-01-01,481.000
1936-01-01,495.000
1937-01-01,507.000
1938-01-01,513.000
1939-01-01,521.000
1940-01-01,522.000
1941-01-01,501.000
1942-01-01,478.000
1943-01-01,500.000
1944-01-01,529.000
1945-01-01,507.000
1946-01-01,509.000
1947-01-01,522.000
1948-01-01,551.000
1949-01-01,570.000
1950-01-01,590.000
1951-01-01,589.000
1952-01-01,587.000
1953-01-01,596.000
1954-01-01,600.000
1955-01-01,618.000
1956-01-01,628.000
1957-01-01,642.000
1958-01-01,646.000
1959-01-01,657.000
1960-01-01,671.000
1961-01-01,684.000
1962-01-01,692.000
1963-01-01,683.000
1964-01-01,680.000
1965-01-01,686.000
1966-01-01,689.000
1967-01-01,688.000
1968-01-01,695.000
1969-01-01,707.000
1970-01-01,713.015
1971-01-01,738.753
1972-01-01,763.237
1973-01-01,782.074
1974-01-01,807.990
1975-01-01,831.982
1976-01-01,856.983
1977-01-01,883.469
1978-01-01,910.690
1979-01-01,932.627
1980-01-01,947.983
1981-01-01,962.204
1982-01-01,973.721
1983-01-01,981.869
1984-01-01,990.839
1985-01-01,994.051
1986-01-01,990.224
1987-01-01,984.997
1988-01-01,985.664
1989-01-01,994.416
1990-01-01,1011.882
1991-01-01,1038.915
1992-01-01,1066.490
1993-01-01,1101.204
1994-01-01,1135.459
1995-01-01,1165.000
1996-01-01,1187.706
1997-01-01,1210.638
1998-01-01,1230.923
1999-01-01,1251.700
2000-01-01,1299.430
2001-01-01,1319.962
2002-01-01,1340.372
2003-01-01,1363.380
2004-01-01,1391.802
2005-01-01,1428.241
2006-01-01,1468.669
2007-01-01,1505.105
2008-01-01,1534.320
2009-01-01,1554.439
2010-01-01,1570.773
2011-01-01,1583.828
2012-01-01,1595.441
2013-01-01,1611.53
2014-01-01,1631.479
2015-01-01,1651.523
2016-01-01,1682.93
2017-01-01,1718.904
2018-01-01,1754.208
