DATE,ILPOP
1900-01-01,4828.000
1901-01-01,4914.000
1902-01-01,4992.000
1903-01-01,5071.000
1904-01-01,5161.000
1905-01-01,5241.000
1906-01-01,5309.000
1907-01-01,5384.000
1908-01-01,5474.000
1909-01-01,5567.000
1910-01-01,5668.000
1911-01-01,5757.000
1912-01-01,5828.000
1913-01-01,5961.000
1914-01-01,6109.000
1915-01-01,6194.000
1916-01-01,6274.000
1917-01-01,6313.000
1918-01-01,6275.000
1919-01-01,6392.000
1920-01-01,6663.000
1921-01-01,6858.000
1922-01-01,6958.000
1923-01-01,7068.000
1924-01-01,7215.000
1925-01-01,7306.000
1926-01-01,7395.000
1927-01-01,7519.000
1928-01-01,7576.000
1929-01-01,7606.000
1930-01-01,7644.000
1931-01-01,7687.000
1932-01-01,7736.000
1933-01-01,7768.000
1934-01-01,7772.000
1935-01-01,7797.000
1936-01-01,7840.000
1937-01-01,7857.000
1938-01-01,7866.000
1939-01-01,7890.000
1940-01-01,7905.000
1941-01-01,7995.000
1942-01-01,8057.000
1943-01-01,7761.000
1944-01-01,7719.000
1945-01-01,7601.000
1946-01-01,8155.000
1947-01-01,8341.000
1948-01-01,8552.000
1949-01-01,8670.000
1950-01-01,8738.000
1951-01-01,8790.000
1952-01-01,8956.000
1953-01-01,9065.000
1954-01-01,9252.000
1955-01-01,9435.000
1956-01-01,9530.000
1957-01-01,9668.000
1958-01-01,9886.000
1959-01-01,9986.000
1960-01-01,10086.000
1961-01-01,10130.000
1962-01-01,10280.000
1963-01-01,10402.000
1964-01-01,10580.000
1965-01-01,10693.000
1966-01-01,10836.000
1967-01-01,10947.000
1968-01-01,10995.000
1969-01-01,11039.000
1970-01-01,11110.285
1971-01-01,11202.397
1972-01-01,11251.948
1973-01-01,11251.367
1974-01-01,11262.145
1975-01-01,11291.743
1976-01-01,11342.853
1977-01-01,11386.316
1978-01-01,11412.561
1979-01-01,11396.837
1980-01-01,11434.702
1981-01-01,11443.458
1982-01-01,11423.412
1983-01-01,11408.818
1984-01-01,11412.132
1985-01-01,11399.806
1986-01-01,11387.257
1987-01-01,11391.178
1988-01-01,11390.183
1989-01-01,11409.782
1990-01-01,11446.979
1991-01-01,11535.973
1992-01-01,11635.197
1993-01-01,11725.984
1994-01-01,11804.986
1995-01-01,11884.935
1996-01-01,11953.003
1997-01-01,12011.509
1998-01-01,12069.774
1999-01-01,12128.370
2000-01-01,12434.161
2001-01-01,12488.445
2002-01-01,12525.556
2003-01-01,12556.006
2004-01-01,12589.773
2005-01-01,12609.903
2006-01-01,12643.955
2007-01-01,12695.866
2008-01-01,12747.038
2009-01-01,12796.778
2010-01-01,12840.762
2011-01-01,12867.291
2012-01-01,12884.119
2013-01-01,12898.269
2014-01-01,12888.962
2015-01-01,12864.342
2016-01-01,12826.895
2017-01-01,12786.196
2018-01-01,12741.08
