DATE,KSPOP
1900-01-01,1473.000
1901-01-01,1490.000
1902-01-01,1505.000
1903-01-01,1498.000
1904-01-01,1527.000
1905-01-01,1555.000
1906-01-01,1576.000
1907-01-01,1612.000
1908-01-01,1629.000
1909-01-01,1658.000
1910-01-01,1692.000
1911-01-01,1684.000
1912-01-01,1671.000
1913-01-01,1663.000
1914-01-01,1662.000
1915-01-01,1687.000
1916-01-01,1727.000
1917-01-01,1748.000
1918-01-01,1729.000
1919-01-01,1756.000
1920-01-01,1769.000
1921-01-01,1779.000
1922-01-01,1799.000
1923-01-01,1808.000
1924-01-01,1807.000
1925-01-01,1825.000
1926-01-01,1836.000
1927-01-01,1836.000
1928-01-01,1850.000
1929-01-01,1867.000
1930-01-01,1883.000
1931-01-01,1881.000
1932-01-01,1883.000
1933-01-01,1877.000
1934-01-01,1868.000
1935-01-01,1872.000
1936-01-01,1869.000
1937-01-01,1856.000
1938-01-01,1842.000
1939-01-01,1824.000
1940-01-01,1788.000
1941-01-01,1765.000
1942-01-01,1760.000
1943-01-01,1796.000
1944-01-01,1779.000
1945-01-01,1731.000
1946-01-01,1805.000
1947-01-01,1853.000
1948-01-01,1892.000
1949-01-01,1925.000
1950-01-01,1916.000
1951-01-01,1950.000
1952-01-01,1977.000
1953-01-01,1994.000
1954-01-01,2042.000
1955-01-01,2093.000
1956-01-01,2119.000
1957-01-01,2128.000
1958-01-01,2142.000
1959-01-01,2160.000
1960-01-01,2183.000
1961-01-01,2215.000
1962-01-01,2231.000
1963-01-01,2217.000
1964-01-01,2209.000
1965-01-01,2206.000
1966-01-01,2200.000
1967-01-01,2197.000
1968-01-01,2216.000
1969-01-01,2236.000
1970-01-01,2249.071
1971-01-01,2246.600
1972-01-01,2256.375
1973-01-01,2265.603
1974-01-01,2269.499
1975-01-01,2280.578
1976-01-01,2301.001
1977-01-01,2320.647
1978-01-01,2335.657
1979-01-01,2350.906
1980-01-01,2369.039
1981-01-01,2384.849
1982-01-01,2401.202
1983-01-01,2415.531
1984-01-01,2424.086
1985-01-01,2427.405
1986-01-01,2432.619
1987-01-01,2445.367
1988-01-01,2461.996
1989-01-01,2472.849
1990-01-01,2480.683
1991-01-01,2495.209
1992-01-01,2526.042
1993-01-01,2547.605
1994-01-01,2569.118
1995-01-01,2586.942
1996-01-01,2598.266
1997-01-01,2616.339
1998-01-01,2638.667
1999-01-01,2654.052
2000-01-01,2693.681
2001-01-01,2702.162
2002-01-01,2713.535
2003-01-01,2723.004
2004-01-01,2734.373
2005-01-01,2745.299
2006-01-01,2762.931
2007-01-01,2783.785
2008-01-01,2808.076
2009-01-01,2832.704
2010-01-01,2858.213
2011-01-01,2869.035
2012-01-01,2885.361
2013-01-01,2893.51
2014-01-01,2900.896
2015-01-01,2909.502
2016-01-01,2911.263
2017-01-01,2910.689
2018-01-01,2911.505
