DATE,KYPOP
1900-01-01,2148.000
1901-01-01,2162.000
1902-01-01,2177.000
1903-01-01,2191.000
1904-01-01,2205.000
1905-01-01,2220.000
1906-01-01,2234.000
1907-01-01,2249.000
1908-01-01,2263.000
1909-01-01,2278.000
1910-01-01,2299.000
1911-01-01,2324.000
1912-01-01,2347.000
1913-01-01,2374.000
1914-01-01,2395.000
1915-01-01,2401.000
1916-01-01,2411.000
1917-01-01,2421.000
1918-01-01,2425.000
1919-01-01,2413.000
1920-01-01,2421.000
1921-01-01,2436.000
1922-01-01,2450.000
1923-01-01,2480.000
1924-01-01,2531.000
1925-01-01,2520.000
1926-01-01,2545.000
1927-01-01,2551.000
1928-01-01,2567.000
1929-01-01,2606.000
1930-01-01,2623.000
1931-01-01,2652.000
1932-01-01,2676.000
1933-01-01,2698.000
1934-01-01,2722.000
1935-01-01,2748.000
1936-01-01,2768.000
1937-01-01,2784.000
1938-01-01,2800.000
1939-01-01,2825.000
1940-01-01,2859.000
1941-01-01,2824.000
1942-01-01,2797.000
1943-01-01,2693.000
1944-01-01,2631.000
1945-01-01,2597.000
1946-01-01,2761.000
1947-01-01,2803.000
1948-01-01,2817.000
1949-01-01,2849.000
1950-01-01,2936.000
1951-01-01,2941.000
1952-01-01,2920.000
1953-01-01,2903.000
1954-01-01,2902.000
1955-01-01,2910.000
1956-01-01,2898.000
1957-01-01,2928.000
1958-01-01,2961.000
1959-01-01,2999.000
1960-01-01,3041.000
1961-01-01,3054.000
1962-01-01,3079.000
1963-01-01,3096.000
1964-01-01,3129.000
1965-01-01,3140.000
1966-01-01,3147.000
1967-01-01,3172.000
1968-01-01,3195.000
1969-01-01,3198.000
1970-01-01,3220.711
1971-01-01,3298.053
1972-01-01,3335.728
1973-01-01,3371.024
1974-01-01,3416.315
1975-01-01,3467.769
1976-01-01,3529.257
1977-01-01,3573.693
1978-01-01,3609.976
1979-01-01,3641.804
1980-01-01,3664.221
1981-01-01,3670.394
1982-01-01,3683.445
1983-01-01,3694.484
1984-01-01,3695.453
1985-01-01,3694.826
1986-01-01,3687.809
1987-01-01,3683.329
1988-01-01,3679.999
1989-01-01,3677.306
1990-01-01,3692.584
1991-01-01,3714.686
1992-01-01,3756.358
1993-01-01,3792.288
1994-01-01,3823.215
1995-01-01,3855.248
1996-01-01,3881.051
1997-01-01,3907.816
1998-01-01,3934.310
1999-01-01,3960.825
2000-01-01,4049.021
2001-01-01,4068.132
2002-01-01,4089.875
2003-01-01,4117.170
2004-01-01,4146.101
2005-01-01,4182.742
2006-01-01,4219.239
2007-01-01,4256.672
2008-01-01,4289.878
2009-01-01,4317.074
2010-01-01,4348.2
2011-01-01,4369.488
2012-01-01,4386.381
2013-01-01,4404.817
2014-01-01,4414.483
2015-01-01,4425.999
2016-01-01,4438.229
2017-01-01,4453.874
2018-01-01,4468.402
