DATE,MAPOP
1900-01-01,2788.000
1901-01-01,2794.000
1902-01-01,2856.000
1903-01-01,2924.000
1904-01-01,2969.000
1905-01-01,3018.000
1906-01-01,3107.000
1907-01-01,3183.000
1908-01-01,3251.000
1909-01-01,3316.000
1910-01-01,3365.000
1911-01-01,3383.000
1912-01-01,3440.000
1913-01-01,3534.000
1914-01-01,3636.000
1915-01-01,3705.000
1916-01-01,3726.000
1917-01-01,3738.000
1918-01-01,3695.000
1919-01-01,3785.000
1920-01-01,3882.000
1921-01-01,3951.000
1922-01-01,4010.000
1923-01-01,4057.000
1924-01-01,4102.000
1925-01-01,4154.000
1926-01-01,4194.000
1927-01-01,4223.000
1928-01-01,4217.000
1929-01-01,4229.000
1930-01-01,4250.000
1931-01-01,4248.000
1932-01-01,4259.000
1933-01-01,4282.000
1934-01-01,4305.000
1935-01-01,4343.000
1936-01-01,4355.000
1937-01-01,4358.000
1938-01-01,4365.000
1939-01-01,4347.000
1940-01-01,4318.000
1941-01-01,4389.000
1942-01-01,4370.000
1943-01-01,4257.000
1944-01-01,4192.000
1945-01-01,4201.000
1946-01-01,4494.000
1947-01-01,4580.000
1948-01-01,4674.000
1949-01-01,4741.000
1950-01-01,4686.000
1951-01-01,4654.000
1952-01-01,4650.000
1953-01-01,4806.000
1954-01-01,4910.000
1955-01-01,4882.000
1956-01-01,4891.000
1957-01-01,4929.000
1958-01-01,5010.000
1959-01-01,5117.000
1960-01-01,5160.000
1961-01-01,5219.000
1962-01-01,5263.000
1963-01-01,5344.000
1964-01-01,5448.000
1965-01-01,5502.000
1966-01-01,5535.000
1967-01-01,5594.000
1968-01-01,5618.000
1969-01-01,5650.000
1970-01-01,5689.170
1971-01-01,5737.580
1972-01-01,5760.302
1973-01-01,5781.172
1974-01-01,5773.548
1975-01-01,5757.756
1976-01-01,5743.672
1977-01-01,5738.199
1978-01-01,5736.469
1979-01-01,5738.404
1980-01-01,5746.075
1981-01-01,5768.685
1982-01-01,5771.222
1983-01-01,5799.407
1984-01-01,5840.773
1985-01-01,5880.733
1986-01-01,5902.678
1987-01-01,5935.204
1988-01-01,5979.982
1989-01-01,6015.478
1990-01-01,6018.664
1991-01-01,5998.652
1992-01-01,5993.474
1993-01-01,6010.884
1994-01-01,6031.352
1995-01-01,6062.335
1996-01-01,6085.393
1997-01-01,6115.476
1998-01-01,6144.407
1999-01-01,6175.169
2000-01-01,6361.104
2001-01-01,6397.634
2002-01-01,6417.206
2003-01-01,6422.565
2004-01-01,6412.281
2005-01-01,6403.290
2006-01-01,6410.084
2007-01-01,6431.559
2008-01-01,6468.967
2009-01-01,6517.613
2010-01-01,6566.431
2011-01-01,6613.149
2012-01-01,6663.158
2013-01-01,6713.944
2014-01-01,6763.652
2015-01-01,6795.891
2016-01-01,6826.022
2017-01-01,6863.246
2018-01-01,6902.149
