DATE,MOPOP
1900-01-01,3108.000
1901-01-01,3128.000
1902-01-01,3147.000
1903-01-01,3166.000
1904-01-01,3185.000
1905-01-01,3204.000
1906-01-01,3223.000
1907-01-01,3242.000
1908-01-01,3260.000
1909-01-01,3279.000
1910-01-01,3301.000
1911-01-01,3317.000
1912-01-01,3344.000
1913-01-01,3409.000
1914-01-01,3467.000
1915-01-01,3492.000
1916-01-01,3527.000
1917-01-01,3470.000
1918-01-01,3325.000
1919-01-01,3371.000
1920-01-01,3404.000
1921-01-01,3429.000
1922-01-01,3437.000
1923-01-01,3454.000
1924-01-01,3508.000
1925-01-01,3526.000
1926-01-01,3556.000
1927-01-01,3576.000
1928-01-01,3601.000
1929-01-01,3622.000
1930-01-01,3646.000
1931-01-01,3711.000
1932-01-01,3746.000
1933-01-01,3773.000
1934-01-01,3784.000
1935-01-01,3798.000
1936-01-01,3801.000
1937-01-01,3794.000
1938-01-01,3781.000
1939-01-01,3783.000
1940-01-01,3786.000
1941-01-01,3811.000
1942-01-01,3829.000
1943-01-01,3705.000
1944-01-01,3560.000
1945-01-01,3516.000
1946-01-01,3746.000
1947-01-01,3845.000
1948-01-01,3844.000
1949-01-01,3882.000
1950-01-01,3964.000
1951-01-01,4015.000
1952-01-01,3972.000
1953-01-01,4020.000
1954-01-01,4066.000
1955-01-01,4134.000
1956-01-01,4163.000
1957-01-01,4189.000
1958-01-01,4186.000
1959-01-01,4258.000
1960-01-01,4326.000
1961-01-01,4349.000
1962-01-01,4357.000
1963-01-01,4392.000
1964-01-01,4442.000
1965-01-01,4467.000
1966-01-01,4523.000
1967-01-01,4539.000
1968-01-01,4568.000
1969-01-01,4640.000
1970-01-01,4677.623
1971-01-01,4725.764
1972-01-01,4758.780
1973-01-01,4782.645
1974-01-01,4795.930
1975-01-01,4808.308
1976-01-01,4839.029
1977-01-01,4863.173
1978-01-01,4889.399
1979-01-01,4912.430
1980-01-01,4921.966
1981-01-01,4932.064
1982-01-01,4929.451
1983-01-01,4943.733
1984-01-01,4975.278
1985-01-01,5000.268
1986-01-01,5023.068
1987-01-01,5056.696
1988-01-01,5081.736
1989-01-01,5095.830
1990-01-01,5126.370
1991-01-01,5157.770
1992-01-01,5193.686
1993-01-01,5237.757
1994-01-01,5281.206
1995-01-01,5324.610
1996-01-01,5367.888
1997-01-01,5407.113
1998-01-01,5437.562
1999-01-01,5468.338
2000-01-01,5607.285
2001-01-01,5641.142
2002-01-01,5674.825
2003-01-01,5709.403
2004-01-01,5747.741
2005-01-01,5790.300
2006-01-01,5842.704
2007-01-01,5887.612
2008-01-01,5923.916
2009-01-01,5961.088
2010-01-01,5995.976
2011-01-01,6009.641
2012-01-01,6024.081
2013-01-01,6040.658
2014-01-01,6056.293
2015-01-01,6071.745
2016-01-01,6087.203
2017-01-01,6108.612
2018-01-01,6126.452
