DATE,MSPOP
1900-01-01,1553.000
1901-01-01,1578.000
1902-01-01,1603.000
1903-01-01,1628.000
1904-01-01,1653.000
1905-01-01,1678.000
1906-01-01,1703.000
1907-01-01,1728.000
1908-01-01,1753.000
1909-01-01,1777.000
1910-01-01,1802.000
1911-01-01,1810.000
1912-01-01,1817.000
1913-01-01,1827.000
1914-01-01,1832.000
1915-01-01,1826.000
1916-01-01,1823.000
1917-01-01,1820.000
1918-01-01,1813.000
1919-01-01,1790.000
1920-01-01,1800.000
1921-01-01,1823.000
1922-01-01,1836.000
1923-01-01,1858.000
1924-01-01,1886.000
1925-01-01,1910.000
1926-01-01,1935.000
1927-01-01,1962.000
1928-01-01,1981.000
1929-01-01,1998.000
1930-01-01,2006.000
1931-01-01,1994.000
1932-01-01,2004.000
1933-01-01,2031.000
1934-01-01,2050.000
1935-01-01,2061.000
1936-01-01,2072.000
1937-01-01,2086.000
1938-01-01,2127.000
1939-01-01,2168.000
1940-01-01,2176.000
1941-01-01,2184.000
1942-01-01,2210.000
1943-01-01,2280.000
1944-01-01,2167.000
1945-01-01,2090.000
1946-01-01,2064.000
1947-01-01,2107.000
1948-01-01,2076.000
1949-01-01,2085.000
1950-01-01,2176.000
1951-01-01,2163.000
1952-01-01,2152.000
1953-01-01,2105.000
1954-01-01,2064.000
1955-01-01,2060.000
1956-01-01,2086.000
1957-01-01,2088.000
1958-01-01,2086.000
1959-01-01,2138.000
1960-01-01,2182.000
1961-01-01,2206.000
1962-01-01,2243.000
1963-01-01,2244.000
1964-01-01,2241.000
1965-01-01,2246.000
1966-01-01,2245.000
1967-01-01,2228.000
1968-01-01,2219.000
1969-01-01,2220.000
1970-01-01,2216.994
1971-01-01,2265.432
1972-01-01,2307.117
1973-01-01,2349.546
1974-01-01,2378.268
1975-01-01,2399.449
1976-01-01,2429.756
1977-01-01,2459.201
1978-01-01,2487.816
1979-01-01,2507.069
1980-01-01,2525.342
1981-01-01,2539.036
1982-01-01,2556.777
1983-01-01,2567.717
1984-01-01,2578.051
1985-01-01,2588.102
1986-01-01,2593.597
1987-01-01,2588.545
1988-01-01,2580.352
1989-01-01,2574.269
1990-01-01,2577.426
1991-01-01,2591.230
1992-01-01,2610.193
1993-01-01,2635.574
1994-01-01,2663.450
1995-01-01,2690.788
1996-01-01,2709.925
1997-01-01,2731.826
1998-01-01,2751.335
1999-01-01,2768.619
2000-01-01,2848.353
2001-01-01,2852.994
2002-01-01,2858.681
2003-01-01,2868.312
2004-01-01,2889.010
2005-01-01,2905.943
2006-01-01,2904.978
2007-01-01,2928.350
2008-01-01,2947.806
2009-01-01,2958.774
2010-01-01,2970.536
2011-01-01,2978.47
2012-01-01,2983.767
2013-01-01,2988.797
2014-01-01,2990.623
2015-01-01,2988.693
2016-01-01,2988.298
2017-01-01,2989.663
2018-01-01,2986.53
