DATE,MTPOP
1900-01-01,245.000
1901-01-01,261.000
1902-01-01,270.000
1903-01-01,282.000
1904-01-01,293.000
1905-01-01,305.000
1906-01-01,322.000
1907-01-01,332.000
1908-01-01,346.000
1909-01-01,363.000
1910-01-01,380.000
1911-01-01,397.000
1912-01-01,414.000
1913-01-01,433.000
1914-01-01,452.000
1915-01-01,469.000
1916-01-01,487.000
1917-01-01,505.000
1918-01-01,501.000
1919-01-01,534.000
1920-01-01,543.000
1921-01-01,546.000
1922-01-01,543.000
1923-01-01,538.000
1924-01-01,538.000
1925-01-01,535.000
1926-01-01,531.000
1927-01-01,527.000
1928-01-01,541.000
1929-01-01,524.000
1930-01-01,539.000
1931-01-01,540.000
1932-01-01,540.000
1933-01-01,541.000
1934-01-01,545.000
1935-01-01,550.000
1936-01-01,554.000
1937-01-01,554.000
1938-01-01,552.000
1939-01-01,555.000
1940-01-01,558.000
1941-01-01,543.000
1942-01-01,518.000
1943-01-01,485.000
1944-01-01,469.000
1945-01-01,477.000
1946-01-01,514.000
1947-01-01,531.000
1948-01-01,542.000
1949-01-01,569.000
1950-01-01,593.000
1951-01-01,596.000
1952-01-01,602.000
1953-01-01,616.000
1954-01-01,624.000
1955-01-01,636.000
1956-01-01,656.000
1957-01-01,667.000
1958-01-01,666.000
1959-01-01,669.000
1960-01-01,679.000
1961-01-01,696.000
1962-01-01,698.000
1963-01-01,703.000
1964-01-01,706.000
1965-01-01,706.000
1966-01-01,707.000
1967-01-01,701.000
1968-01-01,700.000
1969-01-01,694.000
1970-01-01,694.409
1971-01-01,710.814
1972-01-01,718.732
1973-01-01,726.798
1974-01-01,736.419
1975-01-01,748.208
1976-01-01,757.317
1977-01-01,769.953
1978-01-01,782.317
1979-01-01,787.305
1980-01-01,788.752
1981-01-01,795.328
1982-01-01,803.986
1983-01-01,814.031
1984-01-01,820.905
1985-01-01,822.320
1986-01-01,813.739
1987-01-01,805.063
1988-01-01,800.202
1989-01-01,799.636
1990-01-01,799.824
1991-01-01,807.837
1992-01-01,822.436
1993-01-01,839.876
1994-01-01,854.923
1995-01-01,868.522
1996-01-01,876.656
1997-01-01,878.706
1998-01-01,879.533
1999-01-01,882.779
2000-01-01,903.773
2001-01-01,906.961
2002-01-01,911.667
2003-01-01,919.630
2004-01-01,930.009
2005-01-01,940.102
2006-01-01,952.692
2007-01-01,964.706
2008-01-01,976.415
2009-01-01,983.982
2010-01-01,990.722
2011-01-01,997.221
2012-01-01,1003.754
2013-01-01,1013.564
2014-01-01,1021.891
2015-01-01,1030.503
2016-01-01,1040.863
2017-01-01,1053.09
2018-01-01,1062.305
