DATE,NCPOP
1900-01-01,1897.000
1901-01-01,1926.000
1902-01-01,1956.000
1903-01-01,1986.000
1904-01-01,2017.000
1905-01-01,2051.000
1906-01-01,2077.000
1907-01-01,2105.000
1908-01-01,2142.000
1909-01-01,2174.000
1910-01-01,2221.000
1911-01-01,2276.000
1912-01-01,2313.000
1913-01-01,2362.000
1914-01-01,2421.000
1915-01-01,2473.000
1916-01-01,2513.000
1917-01-01,2546.000
1918-01-01,2522.000
1919-01-01,2535.000
1920-01-01,2588.000
1921-01-01,2651.000
1922-01-01,2700.000
1923-01-01,2761.000
1924-01-01,2830.000
1925-01-01,2895.000
1926-01-01,2959.000
1927-01-01,3027.000
1928-01-01,3082.000
1929-01-01,3133.000
1930-01-01,3167.000
1931-01-01,3184.000
1932-01-01,3227.000
1933-01-01,3268.000
1934-01-01,3304.000
1935-01-01,3323.000
1936-01-01,3346.000
1937-01-01,3385.000
1938-01-01,3440.000
1939-01-01,3514.000
1940-01-01,3574.000
1941-01-01,3589.000
1942-01-01,3569.000
1943-01-01,3654.000
1944-01-01,3560.000
1945-01-01,3533.000
1946-01-01,3706.000
1947-01-01,3769.000
1948-01-01,3837.000
1949-01-01,3911.000
1950-01-01,4068.000
1951-01-01,4120.000
1952-01-01,4109.000
1953-01-01,4120.000
1954-01-01,4131.000
1955-01-01,4242.000
1956-01-01,4309.000
1957-01-01,4368.000
1958-01-01,4376.000
1959-01-01,4458.000
1960-01-01,4573.000
1961-01-01,4663.000
1962-01-01,4707.000
1963-01-01,4742.000
1964-01-01,4802.000
1965-01-01,4863.000
1966-01-01,4896.000
1967-01-01,4952.000
1968-01-01,5004.000
1969-01-01,5031.000
1970-01-01,5084.411
1971-01-01,5203.531
1972-01-01,5301.150
1973-01-01,5389.852
1974-01-01,5470.911
1975-01-01,5547.188
1976-01-01,5607.964
1977-01-01,5685.607
1978-01-01,5759.492
1979-01-01,5823.491
1980-01-01,5898.980
1981-01-01,5956.653
1982-01-01,6019.101
1983-01-01,6077.056
1984-01-01,6164.006
1985-01-01,6253.954
1986-01-01,6321.578
1987-01-01,6403.700
1988-01-01,6480.594
1989-01-01,6565.459
1990-01-01,6656.987
1991-01-01,6748.135
1992-01-01,6831.850
1993-01-01,6947.412
1994-01-01,7060.959
1995-01-01,7185.403
1996-01-01,7307.658
1997-01-01,7428.672
1998-01-01,7545.828
1999-01-01,7650.789
2000-01-01,8081.614
2001-01-01,8210.122
2002-01-01,8326.201
2003-01-01,8422.501
2004-01-01,8553.152
2005-01-01,8705.407
2006-01-01,8917.270
2007-01-01,9118.037
2008-01-01,9309.449
2009-01-01,9449.566
2010-01-01,9574.293
2011-01-01,9656.754
2012-01-01,9749.123
2013-01-01,9843.599
2014-01-01,9933.944
2015-01-01,10033.079
2016-01-01,10156.679
2017-01-01,10270.8
2018-01-01,10383.62
