DATE,NDPOP
1900-01-01,321.000
1901-01-01,346.000
1902-01-01,371.000
1903-01-01,396.000
1904-01-01,421.000
1905-01-01,446.000
1906-01-01,474.000
1907-01-01,501.000
1908-01-01,528.000
1909-01-01,555.000
1910-01-01,580.000
1911-01-01,584.000
1912-01-01,603.000
1913-01-01,609.000
1914-01-01,620.000
1915-01-01,641.000
1916-01-01,652.000
1917-01-01,661.000
1918-01-01,636.000
1919-01-01,648.000
1920-01-01,646.000
1921-01-01,646.000
1922-01-01,647.000
1923-01-01,648.000
1924-01-01,642.000
1925-01-01,643.000
1926-01-01,651.000
1927-01-01,657.000
1928-01-01,665.000
1929-01-01,674.000
1930-01-01,682.000
1931-01-01,680.000
1932-01-01,676.000
1933-01-01,674.000
1934-01-01,672.000
1935-01-01,670.000
1936-01-01,664.000
1937-01-01,655.000
1938-01-01,647.000
1939-01-01,644.000
1940-01-01,640.000
1941-01-01,615.000
1942-01-01,583.000
1943-01-01,546.000
1944-01-01,534.000
1945-01-01,546.000
1946-01-01,570.000
1947-01-01,578.000
1948-01-01,580.000
1949-01-01,597.000
1950-01-01,619.000
1951-01-01,604.000
1952-01-01,608.000
1953-01-01,609.000
1954-01-01,611.000
1955-01-01,615.000
1956-01-01,613.000
1957-01-01,612.000
1958-01-01,606.000
1959-01-01,618.000
1960-01-01,634.000
1961-01-01,641.000
1962-01-01,637.000
1963-01-01,644.000
1964-01-01,649.000
1965-01-01,649.000
1966-01-01,647.000
1967-01-01,626.000
1968-01-01,621.000
1969-01-01,621.000
1970-01-01,617.792
1971-01-01,626.760
1972-01-01,631.119
1973-01-01,632.675
1974-01-01,634.559
1975-01-01,638.886
1976-01-01,645.797
1977-01-01,649.769
1978-01-01,651.301
1979-01-01,652.896
1980-01-01,654.380
1981-01-01,659.505
1982-01-01,668.972
1983-01-01,676.688
1984-01-01,680.497
1985-01-01,676.980
1986-01-01,669.512
1987-01-01,661.136
1988-01-01,655.331
1989-01-01,646.351
1990-01-01,637.364
1991-01-01,634.199
1992-01-01,635.427
1993-01-01,637.229
1994-01-01,639.762
1995-01-01,641.548
1996-01-01,642.858
1997-01-01,640.945
1998-01-01,637.808
1999-01-01,633.666
2000-01-01,642.023
2001-01-01,639.062
2002-01-01,638.168
2003-01-01,638.817
2004-01-01,644.705
2005-01-01,646.089
2006-01-01,649.422
2007-01-01,652.822
2008-01-01,657.569
2009-01-01,664.968
2010-01-01,674.71
2011-01-01,685.136
2012-01-01,701.116
2013-01-01,721.999
2014-01-01,737.382
2015-01-01,754.022
2016-01-01,754.353
2017-01-01,755.176
2018-01-01,760.077
