DATE,NHPOP
1900-01-01,412.000
1901-01-01,412.000
1902-01-01,409.000
1903-01-01,394.000
1904-01-01,407.000
1905-01-01,423.000
1906-01-01,415.000
1907-01-01,423.000
1908-01-01,428.000
1909-01-01,431.000
1910-01-01,431.000
1911-01-01,432.000
1912-01-01,434.000
1913-01-01,439.000
1914-01-01,442.000
1915-01-01,443.000
1916-01-01,445.000
1917-01-01,447.000
1918-01-01,440.000
1919-01-01,443.000
1920-01-01,444.000
1921-01-01,449.000
1922-01-01,451.000
1923-01-01,453.000
1924-01-01,457.000
1925-01-01,459.000
1926-01-01,463.000
1927-01-01,466.000
1928-01-01,468.000
1929-01-01,467.000
1930-01-01,466.000
1931-01-01,470.000
1932-01-01,474.000
1933-01-01,477.000
1934-01-01,480.000
1935-01-01,481.000
1936-01-01,481.000
1937-01-01,481.000
1938-01-01,485.000
1939-01-01,490.000
1940-01-01,492.000
1941-01-01,490.000
1942-01-01,481.000
1943-01-01,462.000
1944-01-01,456.000
1945-01-01,459.000
1946-01-01,494.000
1947-01-01,507.000
1948-01-01,520.000
1949-01-01,533.000
1950-01-01,532.000
1951-01-01,529.000
1952-01-01,535.000
1953-01-01,547.000
1954-01-01,554.000
1955-01-01,557.000
1956-01-01,566.000
1957-01-01,572.000
1958-01-01,581.000
1959-01-01,596.000
1960-01-01,609.000
1961-01-01,618.000
1962-01-01,632.000
1963-01-01,649.000
1964-01-01,663.000
1965-01-01,676.000
1966-01-01,681.000
1967-01-01,697.000
1968-01-01,709.000
1969-01-01,724.000
1970-01-01,737.681
1971-01-01,761.851
1972-01-01,781.107
1973-01-01,800.951
1974-01-01,815.914
1975-01-01,828.555
1976-01-01,845.248
1977-01-01,869.763
1978-01-01,891.520
1979-01-01,909.074
1980-01-01,924.250
1981-01-01,936.621
1982-01-01,947.719
1983-01-01,958.134
1984-01-01,976.864
1985-01-01,996.753
1986-01-01,1025.053
1987-01-01,1054.289
1988-01-01,1082.577
1989-01-01,1104.522
1990-01-01,1111.831
1991-01-01,1107.055
1992-01-01,1112.766
1993-01-01,1122.191
1994-01-01,1133.054
1995-01-01,1145.604
1996-01-01,1160.768
1997-01-01,1173.239
1998-01-01,1185.823
1999-01-01,1201.134
2000-01-01,1239.882
2001-01-01,1255.517
2002-01-01,1269.089
2003-01-01,1279.840
2004-01-01,1290.121
2005-01-01,1298.492
2006-01-01,1308.389
2007-01-01,1312.540
2008-01-01,1315.906
2009-01-01,1316.102
2010-01-01,1316.777
2011-01-01,1319.815
2012-01-01,1323.962
2013-01-01,1326.408
2014-01-01,1333.223
2015-01-01,1336.294
2016-01-01,1342.373
2017-01-01,1349.767
2018-01-01,1356.458
