DATE,NMPOP
1900-01-01,196.000
1901-01-01,206.000
1902-01-01,218.000
1903-01-01,229.000
1904-01-01,242.000
1905-01-01,255.000
1906-01-01,269.000
1907-01-01,283.000
1908-01-01,298.000
1909-01-01,314.000
1910-01-01,329.000
1911-01-01,334.000
1912-01-01,338.000
1913-01-01,344.000
1914-01-01,348.000
1915-01-01,351.000
1916-01-01,354.000
1917-01-01,361.000
1918-01-01,382.000
1919-01-01,362.000
1920-01-01,363.000
1921-01-01,370.000
1922-01-01,375.000
1923-01-01,382.000
1924-01-01,390.000
1925-01-01,396.000
1926-01-01,403.000
1927-01-01,410.000
1928-01-01,416.000
1929-01-01,420.000
1930-01-01,427.000
1931-01-01,436.000
1932-01-01,441.000
1933-01-01,449.000
1934-01-01,461.000
1935-01-01,475.000
1936-01-01,489.000
1937-01-01,503.000
1938-01-01,513.000
1939-01-01,523.000
1940-01-01,531.000
1941-01-01,506.000
1942-01-01,502.000
1943-01-01,534.000
1944-01-01,527.000
1945-01-01,537.000
1946-01-01,561.000
1947-01-01,582.000
1948-01-01,604.000
1949-01-01,644.000
1950-01-01,689.000
1951-01-01,717.000
1952-01-01,735.000
1953-01-01,756.000
1954-01-01,763.000
1955-01-01,785.000
1956-01-01,806.000
1957-01-01,847.000
1958-01-01,886.000
1959-01-01,919.000
1960-01-01,954.000
1961-01-01,965.000
1962-01-01,979.000
1963-01-01,989.000
1964-01-01,1006.000
1965-01-01,1012.000
1966-01-01,1007.000
1967-01-01,1000.000
1968-01-01,994.000
1969-01-01,1011.000
1970-01-01,1017.055
1971-01-01,1053.737
1972-01-01,1078.697
1973-01-01,1105.529
1974-01-01,1131.309
1975-01-01,1159.944
1976-01-01,1189.295
1977-01-01,1215.720
1978-01-01,1238.034
1979-01-01,1284.722
1980-01-01,1309.400
1981-01-01,1332.748
1982-01-01,1363.823
1983-01-01,1394.361
1984-01-01,1416.717
1985-01-01,1438.361
1986-01-01,1462.729
1987-01-01,1478.520
1988-01-01,1490.337
1989-01-01,1503.901
1990-01-01,1519.933
1991-01-01,1547.115
1992-01-01,1580.750
1993-01-01,1614.937
1994-01-01,1653.329
1995-01-01,1682.417
1996-01-01,1706.151
1997-01-01,1722.939
1998-01-01,1733.535
1999-01-01,1739.844
2000-01-01,1821.204
2001-01-01,1831.690
2002-01-01,1855.309
2003-01-01,1877.574
2004-01-01,1903.808
2005-01-01,1932.274
2006-01-01,1962.137
2007-01-01,1990.070
2008-01-01,2010.662
2009-01-01,2036.802
2010-01-01,2064.588
2011-01-01,2080.395
2012-01-01,2087.549
2013-01-01,2092.792
2014-01-01,2090.342
2015-01-01,2090.211
2016-01-01,2092.789
2017-01-01,2093.395
2018-01-01,2095.428
