DATE,NVPOP
1900-01-01,43.000
1901-01-01,45.000
1902-01-01,49.000
1903-01-01,52.000
1904-01-01,56.000
1905-01-01,59.000
1906-01-01,64.000
1907-01-01,68.000
1908-01-01,73.000
1909-01-01,78.000
1910-01-01,82.000
1911-01-01,81.000
1912-01-01,81.000
1913-01-01,82.000
1914-01-01,83.000
1915-01-01,82.000
1916-01-01,82.000
1917-01-01,81.000
1918-01-01,77.000
1919-01-01,77.000
1920-01-01,78.000
1921-01-01,80.000
1922-01-01,81.000
1923-01-01,82.000
1924-01-01,84.000
1925-01-01,85.000
1926-01-01,87.000
1927-01-01,88.000
1928-01-01,89.000
1929-01-01,90.000
1930-01-01,92.000
1931-01-01,94.000
1932-01-01,96.000
1933-01-01,96.000
1934-01-01,98.000
1935-01-01,100.000
1936-01-01,101.000
1937-01-01,103.000
1938-01-01,105.000
1939-01-01,107.000
1940-01-01,113.000
1941-01-01,120.000
1942-01-01,137.000
1943-01-01,151.000
1944-01-01,153.000
1945-01-01,149.000
1946-01-01,143.000
1947-01-01,149.000
1948-01-01,156.000
1949-01-01,157.000
1950-01-01,162.000
1951-01-01,168.000
1952-01-01,181.000
1953-01-01,195.000
1954-01-01,213.000
1955-01-01,237.000
1956-01-01,250.000
1957-01-01,260.000
1958-01-01,269.000
1959-01-01,279.000
1960-01-01,291.000
1961-01-01,315.000
1962-01-01,352.000
1963-01-01,397.000
1964-01-01,426.000
1965-01-01,444.000
1966-01-01,446.000
1967-01-01,449.000
1968-01-01,464.000
1969-01-01,480.000
1970-01-01,488.738
1971-01-01,520.018
1972-01-01,546.789
1973-01-01,568.991
1974-01-01,596.822
1975-01-01,619.972
1976-01-01,646.975
1977-01-01,678.333
1978-01-01,719.436
1979-01-01,765.367
1980-01-01,810.215
1981-01-01,847.655
1982-01-01,881.537
1983-01-01,901.977
1984-01-01,924.922
1985-01-01,951.030
1986-01-01,980.613
1987-01-01,1023.376
1988-01-01,1075.022
1989-01-01,1137.382
1990-01-01,1218.629
1991-01-01,1285.046
1992-01-01,1330.694
1993-01-01,1380.197
1994-01-01,1456.388
1995-01-01,1525.777
1996-01-01,1596.476
1997-01-01,1675.581
1998-01-01,1743.772
1999-01-01,1809.253
2000-01-01,2018.741
2001-01-01,2098.399
2002-01-01,2173.791
2003-01-01,2248.850
2004-01-01,2346.222
2005-01-01,2432.143
2006-01-01,2522.658
2007-01-01,2601.072
2008-01-01,2653.630
2009-01-01,2684.665
2010-01-01,2702.464
2011-01-01,2712.799
2012-01-01,2744.566
2013-01-01,2776.972
2014-01-01,2819.012
2015-01-01,2868.666
2016-01-01,2919.772
2017-01-01,2972.405
2018-01-01,3034.392
