DATE,NYPOP
1900-01-01,7283.000
1901-01-01,7449.000
1902-01-01,7612.000
1903-01-01,7771.000
1904-01-01,7927.000
1905-01-01,8084.000
1906-01-01,8289.000
1907-01-01,8499.000
1908-01-01,8714.000
1909-01-01,8935.000
1910-01-01,9137.000
1911-01-01,9249.000
1912-01-01,9361.000
1913-01-01,9473.000
1914-01-01,9585.000
1915-01-01,9700.000
1916-01-01,9848.000
1917-01-01,9993.000
1918-01-01,9936.000
1919-01-01,10252.000
1920-01-01,10282.000
1921-01-01,10416.000
1922-01-01,10589.000
1923-01-01,10752.000
1924-01-01,10953.000
1925-01-01,11186.000
1926-01-01,11257.000
1927-01-01,11174.000
1928-01-01,11599.000
1929-01-01,12171.000
1930-01-01,12647.000
1931-01-01,12848.000
1932-01-01,13001.000
1933-01-01,13126.000
1934-01-01,13253.000
1935-01-01,13375.000
1936-01-01,13481.000
1937-01-01,13511.000
1938-01-01,13512.000
1939-01-01,13523.000
1940-01-01,13456.000
1941-01-01,13267.000
1942-01-01,13002.000
1943-01-01,12807.000
1944-01-01,12628.000
1945-01-01,12495.000
1946-01-01,13398.000
1947-01-01,13982.000
1948-01-01,14497.000
1949-01-01,14892.000
1950-01-01,14865.000
1951-01-01,14890.000
1952-01-01,15192.000
1953-01-01,15527.000
1954-01-01,15814.000
1955-01-01,15966.000
1956-01-01,16112.000
1957-01-01,16374.000
1958-01-01,16601.000
1959-01-01,16685.000
1960-01-01,16838.000
1961-01-01,17061.000
1962-01-01,17301.000
1963-01-01,17461.000
1964-01-01,17589.000
1965-01-01,17734.000
1966-01-01,17843.000
1967-01-01,17935.000
1968-01-01,18051.000
1969-01-01,18105.000
1970-01-01,18241.391
1971-01-01,18357.982
1972-01-01,18339.400
1973-01-01,18177.063
1974-01-01,18049.775
1975-01-01,18003.485
1976-01-01,17940.541
1977-01-01,17812.602
1978-01-01,17680.589
1979-01-01,17583.838
1980-01-01,17566.754
1981-01-01,17567.734
1982-01-01,17589.738
1983-01-01,17686.905
1984-01-01,17745.684
1985-01-01,17791.672
1986-01-01,17833.419
1987-01-01,17868.848
1988-01-01,17941.309
1989-01-01,17983.086
1990-01-01,18002.855
1991-01-01,18029.532
1992-01-01,18082.032
1993-01-01,18140.894
1994-01-01,18156.652
1995-01-01,18150.928
1996-01-01,18143.805
1997-01-01,18143.184
1998-01-01,18159.175
1999-01-01,18196.601
2000-01-01,19001.780
2001-01-01,19082.838
2002-01-01,19137.800
2003-01-01,19175.939
2004-01-01,19171.567
2005-01-01,19132.610
2006-01-01,19104.631
2007-01-01,19132.335
2008-01-01,19212.436
2009-01-01,19307.066
2010-01-01,19400.08
2011-01-01,19498.514
2012-01-01,19574.549
2013-01-01,19628.043
2014-01-01,19656.33
2015-01-01,19661.411
2016-01-01,19641.589
2017-01-01,19590.719
2018-01-01,19542.209
