DATE,OKPOP
1900-01-01,800.000
1901-01-01,916.000
1902-01-01,1027.000
1903-01-01,1118.000
1904-01-01,1200.000
1905-01-01,1277.000
1906-01-01,1349.000
1907-01-01,1414.000
1908-01-01,1498.000
1909-01-01,1585.000
1910-01-01,1671.000
1911-01-01,1714.000
1912-01-01,1737.000
1913-01-01,1777.000
1914-01-01,1824.000
1915-01-01,1860.000
1916-01-01,1907.000
1917-01-01,1960.000
1918-01-01,1969.000
1919-01-01,2003.000
1920-01-01,2055.000
1921-01-01,2108.000
1922-01-01,2140.000
1923-01-01,2159.000
1924-01-01,2179.000
1925-01-01,2216.000
1926-01-01,2256.000
1927-01-01,2306.000
1928-01-01,2344.000
1929-01-01,2372.000
1930-01-01,2401.000
1931-01-01,2403.000
1932-01-01,2394.000
1933-01-01,2392.000
1934-01-01,2391.000
1935-01-01,2386.000
1936-01-01,2365.000
1937-01-01,2334.000
1938-01-01,2324.000
1939-01-01,2333.000
1940-01-01,2325.000
1941-01-01,2262.000
1942-01-01,2215.000
1943-01-01,2205.000
1944-01-01,2043.000
1945-01-01,2028.000
1946-01-01,2128.000
1947-01-01,2133.000
1948-01-01,2089.000
1949-01-01,2105.000
1950-01-01,2229.000
1951-01-01,2210.000
1952-01-01,2219.000
1953-01-01,2182.000
1954-01-01,2209.000
1955-01-01,2250.000
1956-01-01,2273.000
1957-01-01,2282.000
1958-01-01,2267.000
1959-01-01,2289.000
1960-01-01,2336.000
1961-01-01,2380.000
1962-01-01,2427.000
1963-01-01,2439.000
1964-01-01,2446.000
1965-01-01,2440.000
1966-01-01,2454.000
1967-01-01,2489.000
1968-01-01,2503.000
1969-01-01,2535.000
1970-01-01,2559.463
1971-01-01,2618.601
1972-01-01,2658.646
1973-01-01,2695.931
1974-01-01,2734.768
1975-01-01,2774.683
1976-01-01,2826.815
1977-01-01,2870.014
1978-01-01,2917.336
1979-01-01,2975.310
1980-01-01,3040.758
1981-01-01,3096.164
1982-01-01,3206.123
1983-01-01,3290.402
1984-01-01,3285.533
1985-01-01,3271.332
1986-01-01,3252.735
1987-01-01,3210.122
1988-01-01,3167.057
1989-01-01,3150.307
1990-01-01,3147.105
1991-01-01,3166.471
1992-01-01,3204.174
1993-01-01,3228.829
1994-01-01,3246.119
1995-01-01,3265.547
1996-01-01,3289.634
1997-01-01,3314.259
1998-01-01,3339.478
1999-01-01,3358.044
2000-01-01,3454.365
2001-01-01,3467.100
2002-01-01,3489.080
2003-01-01,3504.892
2004-01-01,3525.233
2005-01-01,3548.597
2006-01-01,3594.090
2007-01-01,3634.349
2008-01-01,3668.976
2009-01-01,3717.572
2010-01-01,3759.632
2011-01-01,3787.821
2012-01-01,3818.6
2013-01-01,3853.205
2014-01-01,3878.367
2015-01-01,3909.831
2016-01-01,3926.769
2017-01-01,3932.64
2018-01-01,3943.079
