DATE,ORPOP
1900-01-01,415.000
1901-01-01,434.000
1902-01-01,454.000
1903-01-01,479.000
1904-01-01,504.000
1905-01-01,530.000
1906-01-01,555.000
1907-01-01,580.000
1908-01-01,610.000
1909-01-01,643.000
1910-01-01,677.000
1911-01-01,692.000
1912-01-01,706.000
1913-01-01,722.000
1914-01-01,736.000
1915-01-01,745.000
1916-01-01,756.000
1917-01-01,763.000
1918-01-01,763.000
1919-01-01,774.000
1920-01-01,788.000
1921-01-01,798.000
1922-01-01,814.000
1923-01-01,833.000
1924-01-01,856.000
1925-01-01,883.000
1926-01-01,905.000
1927-01-01,925.000
1928-01-01,936.000
1929-01-01,947.000
1930-01-01,956.000
1931-01-01,966.000
1932-01-01,972.000
1933-01-01,978.000
1934-01-01,985.000
1935-01-01,1001.000
1936-01-01,1025.000
1937-01-01,1048.000
1938-01-01,1067.000
1939-01-01,1081.000
1940-01-01,1086.000
1941-01-01,1071.000
1942-01-01,1107.000
1943-01-01,1221.000
1944-01-01,1233.000
1945-01-01,1250.000
1946-01-01,1338.000
1947-01-01,1361.000
1948-01-01,1405.000
1949-01-01,1431.000
1950-01-01,1532.000
1951-01-01,1556.000
1952-01-01,1582.000
1953-01-01,1601.000
1954-01-01,1626.000
1955-01-01,1659.000
1956-01-01,1698.000
1957-01-01,1712.000
1958-01-01,1718.000
1959-01-01,1746.000
1960-01-01,1772.000
1961-01-01,1787.000
1962-01-01,1818.000
1963-01-01,1853.000
1964-01-01,1888.000
1965-01-01,1937.000
1966-01-01,1969.000
1967-01-01,1979.000
1968-01-01,2004.000
1969-01-01,2062.000
1970-01-01,2091.533
1971-01-01,2151.022
1972-01-01,2197.297
1973-01-01,2241.932
1974-01-01,2285.013
1975-01-01,2329.661
1976-01-01,2378.262
1977-01-01,2446.673
1978-01-01,2518.298
1979-01-01,2588.012
1980-01-01,2641.218
1981-01-01,2667.982
1982-01-01,2664.922
1983-01-01,2653.066
1984-01-01,2666.588
1985-01-01,2672.652
1986-01-01,2683.528
1987-01-01,2700.991
1988-01-01,2741.297
1989-01-01,2790.575
1990-01-01,2858.547
1991-01-01,2918.745
1992-01-01,2973.934
1993-01-01,3034.490
1994-01-01,3087.142
1995-01-01,3141.421
1996-01-01,3195.087
1997-01-01,3243.254
1998-01-01,3282.055
1999-01-01,3316.154
2000-01-01,3429.708
2001-01-01,3467.937
2002-01-01,3513.424
2003-01-01,3547.376
2004-01-01,3569.463
2005-01-01,3613.202
2006-01-01,3670.883
2007-01-01,3722.417
2008-01-01,3768.748
2009-01-01,3808.600
2010-01-01,3837.532
2011-01-01,3871.728
2012-01-01,3899.118
2013-01-01,3922.908
2014-01-01,3964.106
2015-01-01,4016.918
2016-01-01,4091.404
2017-01-01,4146.592
2018-01-01,4190.713
