DATE,PAPOP
1900-01-01,6313.000
1901-01-01,6439.000
1902-01-01,6567.000
1903-01-01,6699.000
1904-01-01,6833.000
1905-01-01,6970.000
1906-01-01,7110.000
1907-01-01,7253.000
1908-01-01,7398.000
1909-01-01,7546.000
1910-01-01,7706.000
1911-01-01,7850.000
1912-01-01,7986.000
1913-01-01,8139.000
1914-01-01,8276.000
1915-01-01,8362.000
1916-01-01,8463.000
1917-01-01,8578.000
1918-01-01,8524.000
1919-01-01,8643.000
1920-01-01,8740.000
1921-01-01,8900.000
1922-01-01,8982.000
1923-01-01,9148.000
1924-01-01,9383.000
1925-01-01,9478.000
1926-01-01,9594.000
1927-01-01,9745.000
1928-01-01,9802.000
1929-01-01,9723.000
1930-01-01,9649.000
1931-01-01,9707.000
1932-01-01,9764.000
1933-01-01,9784.000
1934-01-01,9795.000
1935-01-01,9774.000
1936-01-01,9767.000
1937-01-01,9790.000
1938-01-01,9952.000
1939-01-01,9901.000
1940-01-01,9896.000
1941-01-01,9911.000
1942-01-01,9704.000
1943-01-01,9444.000
1944-01-01,9214.000
1945-01-01,9143.000
1946-01-01,9866.000
1947-01-01,10196.000
1948-01-01,10287.000
1949-01-01,10390.000
1950-01-01,10507.000
1951-01-01,10461.000
1952-01-01,10503.000
1953-01-01,10662.000
1954-01-01,10817.000
1955-01-01,10939.000
1956-01-01,10972.000
1957-01-01,10954.000
1958-01-01,11058.000
1959-01-01,11234.000
1960-01-01,11329.000
1961-01-01,11392.000
1962-01-01,11355.000
1963-01-01,11424.000
1964-01-01,11519.000
1965-01-01,11620.000
1966-01-01,11664.000
1967-01-01,11681.000
1968-01-01,11741.000
1969-01-01,11741.000
1970-01-01,11800.766
1971-01-01,11886.400
1972-01-01,11908.233
1973-01-01,11890.527
1974-01-01,11870.884
1975-01-01,11906.095
1976-01-01,11897.378
1977-01-01,11893.591
1978-01-01,11879.396
1979-01-01,11887.975
1980-01-01,11868.305
1981-01-01,11858.567
1982-01-01,11845.146
1983-01-01,11837.723
1984-01-01,11815.172
1985-01-01,11770.862
1986-01-01,11782.752
1987-01-01,11810.866
1988-01-01,11845.752
1989-01-01,11865.996
1990-01-01,11895.604
1991-01-01,11943.160
1992-01-01,11980.819
1993-01-01,12022.128
1994-01-01,12042.545
1995-01-01,12044.780
1996-01-01,12038.008
1997-01-01,12015.888
1998-01-01,12002.329
1999-01-01,11994.016
2000-01-01,12284.173
2001-01-01,12298.970
2002-01-01,12331.031
2003-01-01,12374.658
2004-01-01,12410.722
2005-01-01,12449.990
2006-01-01,12510.809
2007-01-01,12563.937
2008-01-01,12612.285
2009-01-01,12666.858
2010-01-01,12711.158
2011-01-01,12744.583
2012-01-01,12766.827
2013-01-01,12776.621
2014-01-01,12789.101
2015-01-01,12785.759
2016-01-01,12783.538
2017-01-01,12790.447
2018-01-01,12807.06
