DATE,RIPOP
1900-01-01,430.000
1901-01-01,441.000
1902-01-01,450.000
1903-01-01,460.000
1904-01-01,471.000
1905-01-01,481.000
1906-01-01,492.000
1907-01-01,505.000
1908-01-01,519.000
1909-01-01,532.000
1910-01-01,545.000
1911-01-01,556.000
1912-01-01,567.000
1913-01-01,578.000
1914-01-01,589.000
1915-01-01,597.000
1916-01-01,598.000
1917-01-01,606.000
1918-01-01,604.000
1919-01-01,603.000
1920-01-01,613.000
1921-01-01,629.000
1922-01-01,644.000
1923-01-01,656.000
1924-01-01,669.000
1925-01-01,680.000
1926-01-01,681.000
1927-01-01,677.000
1928-01-01,678.000
1929-01-01,684.000
1930-01-01,686.000
1931-01-01,681.000
1932-01-01,677.000
1933-01-01,675.000
1934-01-01,675.000
1935-01-01,678.000
1936-01-01,686.000
1937-01-01,694.000
1938-01-01,694.000
1939-01-01,701.000
1940-01-01,719.000
1941-01-01,731.000
1942-01-01,748.000
1943-01-01,760.000
1944-01-01,795.000
1945-01-01,776.000
1946-01-01,770.000
1947-01-01,776.000
1948-01-01,787.000
1949-01-01,801.000
1950-01-01,786.000
1951-01-01,784.000
1952-01-01,802.000
1953-01-01,815.000
1954-01-01,816.000
1955-01-01,823.000
1956-01-01,840.000
1957-01-01,851.000
1958-01-01,858.000
1959-01-01,857.000
1960-01-01,855.000
1961-01-01,858.000
1962-01-01,871.000
1963-01-01,876.000
1964-01-01,885.000
1965-01-01,893.000
1966-01-01,899.000
1967-01-01,909.000
1968-01-01,922.000
1969-01-01,932.000
1970-01-01,949.723
1971-01-01,963.107
1972-01-01,974.790
1973-01-01,975.738
1974-01-01,950.615
1975-01-01,942.788
1976-01-01,946.089
1977-01-01,950.230
1978-01-01,951.816
1979-01-01,950.382
1980-01-01,948.773
1981-01-01,953.013
1982-01-01,954.170
1983-01-01,956.382
1984-01-01,961.894
1985-01-01,968.955
1986-01-01,977.341
1987-01-01,989.604
1988-01-01,996.408
1989-01-01,1000.666
1990-01-01,1004.649
1991-01-01,1003.990
1992-01-01,1000.571
1993-01-01,997.852
1994-01-01,993.412
1995-01-01,989.203
1996-01-01,987.858
1997-01-01,986.966
1998-01-01,987.704
1999-01-01,990.819
2000-01-01,1050.268
2001-01-01,1057.142
2002-01-01,1065.995
2003-01-01,1071.342
2004-01-01,1074.579
2005-01-01,1067.916
2006-01-01,1063.096
2007-01-01,1057.315
2008-01-01,1055.003
2009-01-01,1053.646
2010-01-01,1053.938
2011-01-01,1053.536
2012-01-01,1054.601
2013-01-01,1055.122
2014-01-01,1056.017
2015-01-01,1056.173
2016-01-01,1057.063
2017-01-01,1056.486
2018-01-01,1057.315
