DATE,SCPOP
1900-01-01,1342.000
1901-01-01,1361.000
1902-01-01,1379.000
1903-01-01,1397.000
1904-01-01,1415.000
1905-01-01,1433.000
1906-01-01,1451.000
1907-01-01,1468.000
1908-01-01,1485.000
1909-01-01,1502.000
1910-01-01,1523.000
1911-01-01,1548.000
1912-01-01,1572.000
1913-01-01,1599.000
1914-01-01,1622.000
1915-01-01,1635.000
1916-01-01,1650.000
1917-01-01,1675.000
1918-01-01,1746.000
1919-01-01,1687.000
1920-01-01,1685.000
1921-01-01,1693.000
1922-01-01,1692.000
1923-01-01,1699.000
1924-01-01,1710.000
1925-01-01,1718.000
1926-01-01,1726.000
1927-01-01,1736.000
1928-01-01,1739.000
1929-01-01,1739.000
1930-01-01,1745.000
1931-01-01,1753.000
1932-01-01,1748.000
1933-01-01,1752.000
1934-01-01,1760.000
1935-01-01,1769.000
1936-01-01,1781.000
1937-01-01,1802.000
1938-01-01,1834.000
1939-01-01,1872.000
1940-01-01,1902.000
1941-01-01,1962.000
1942-01-01,2007.000
1943-01-01,1967.000
1944-01-01,1943.000
1945-01-01,1934.000
1946-01-01,1936.000
1947-01-01,1992.000
1948-01-01,1996.000
1949-01-01,2029.000
1950-01-01,2113.000
1951-01-01,2167.000
1952-01-01,2178.000
1953-01-01,2181.000
1954-01-01,2176.000
1955-01-01,2200.000
1956-01-01,2229.000
1957-01-01,2274.000
1958-01-01,2304.000
1959-01-01,2348.000
1960-01-01,2392.000
1961-01-01,2409.000
1962-01-01,2423.000
1963-01-01,2460.000
1964-01-01,2475.000
1965-01-01,2494.000
1966-01-01,2520.000
1967-01-01,2533.000
1968-01-01,2559.000
1969-01-01,2570.000
1970-01-01,2590.713
1971-01-01,2662.269
1972-01-01,2719.197
1973-01-01,2776.605
1974-01-01,2844.749
1975-01-01,2902.028
1976-01-01,2943.657
1977-01-01,2991.681
1978-01-01,3044.364
1979-01-01,3090.267
1980-01-01,3134.502
1981-01-01,3179.255
1982-01-01,3207.614
1983-01-01,3234.066
1984-01-01,3271.868
1985-01-01,3303.209
1986-01-01,3342.758
1987-01-01,3380.506
1988-01-01,3412.096
1989-01-01,3456.775
1990-01-01,3499.064
1991-01-01,3559.470
1992-01-01,3600.576
1993-01-01,3634.507
1994-01-01,3666.456
1995-01-01,3699.943
1996-01-01,3738.974
1997-01-01,3790.066
1998-01-01,3839.578
1999-01-01,3885.736
2000-01-01,4024.223
2001-01-01,4064.995
2002-01-01,4107.795
2003-01-01,4150.297
2004-01-01,4210.921
2005-01-01,4270.150
2006-01-01,4357.847
2007-01-01,4444.110
2008-01-01,4528.996
2009-01-01,4589.872
2010-01-01,4635.656
2011-01-01,4671.422
2012-01-01,4717.112
2013-01-01,4764.153
2014-01-01,4823.793
2015-01-01,4892.253
2016-01-01,4958.235
2017-01-01,5021.219
2018-01-01,5084.127
