DATE,SDPOP
1900-01-01,403.000
1901-01-01,418.000
1902-01-01,431.000
1903-01-01,437.000
1904-01-01,452.000
1905-01-01,461.000
1906-01-01,477.000
1907-01-01,498.000
1908-01-01,527.000
1909-01-01,553.000
1910-01-01,590.000
1911-01-01,602.000
1912-01-01,592.000
1913-01-01,584.000
1914-01-01,581.000
1915-01-01,585.000
1916-01-01,595.000
1917-01-01,599.000
1918-01-01,570.000
1919-01-01,606.000
1920-01-01,640.000
1921-01-01,652.000
1922-01-01,660.000
1923-01-01,669.000
1924-01-01,673.000
1925-01-01,682.000
1926-01-01,683.000
1927-01-01,682.000
1928-01-01,685.000
1929-01-01,690.000
1930-01-01,693.000
1931-01-01,694.000
1932-01-01,692.000
1933-01-01,690.000
1934-01-01,682.000
1935-01-01,674.000
1936-01-01,666.000
1937-01-01,656.000
1938-01-01,649.000
1939-01-01,645.000
1940-01-01,641.000
1941-01-01,613.000
1942-01-01,589.000
1943-01-01,587.000
1944-01-01,565.000
1945-01-01,579.000
1946-01-01,588.000
1947-01-01,601.000
1948-01-01,612.000
1949-01-01,631.000
1950-01-01,655.000
1951-01-01,655.000
1952-01-01,651.000
1953-01-01,648.000
1954-01-01,655.000
1955-01-01,663.000
1956-01-01,670.000
1957-01-01,666.000
1958-01-01,656.000
1959-01-01,667.000
1960-01-01,683.000
1961-01-01,693.000
1962-01-01,705.000
1963-01-01,708.000
1964-01-01,701.000
1965-01-01,692.000
1966-01-01,683.000
1967-01-01,671.000
1968-01-01,669.000
1969-01-01,668.000
1970-01-01,666.257
1971-01-01,671.297
1972-01-01,677.234
1973-01-01,678.715
1974-01-01,679.585
1975-01-01,681.042
1976-01-01,686.390
1977-01-01,688.480
1978-01-01,688.580
1979-01-01,688.335
1980-01-01,690.851
1981-01-01,689.584
1982-01-01,690.597
1983-01-01,693.008
1984-01-01,697.249
1985-01-01,698.402
1986-01-01,696.034
1987-01-01,696.036
1988-01-01,698.165
1989-01-01,696.701
1990-01-01,696.667
1991-01-01,701.445
1992-01-01,708.698
1993-01-01,716.258
1994-01-01,723.038
1995-01-01,728.251
1996-01-01,730.699
1997-01-01,730.855
1998-01-01,730.789
1999-01-01,733.133
2000-01-01,755.844
2001-01-01,757.972
2002-01-01,760.020
2003-01-01,763.729
2004-01-01,770.396
2005-01-01,775.493
2006-01-01,783.033
2007-01-01,791.623
2008-01-01,799.124
2009-01-01,807.067
2010-01-01,816.165
2011-01-01,823.484
2012-01-01,833.496
2013-01-01,842.27
2014-01-01,849.088
2015-01-01,853.933
2016-01-01,862.89
2017-01-01,873.286
2018-01-01,882.235
