DATE,TNPOP
1900-01-01,2023.000
1901-01-01,2041.000
1902-01-01,2060.000
1903-01-01,2082.000
1904-01-01,2086.000
1905-01-01,2111.000
1906-01-01,2136.000
1907-01-01,2136.000
1908-01-01,2164.000
1909-01-01,2177.000
1910-01-01,2191.000
1911-01-01,2197.000
1912-01-01,2218.000
1913-01-01,2257.000
1914-01-01,2289.000
1915-01-01,2294.000
1916-01-01,2304.000
1917-01-01,2331.000
1918-01-01,2288.000
1919-01-01,2305.000
1920-01-01,2329.000
1921-01-01,2369.000
1922-01-01,2424.000
1923-01-01,2463.000
1924-01-01,2502.000
1925-01-01,2531.000
1926-01-01,2553.000
1927-01-01,2608.000
1928-01-01,2624.000
1929-01-01,2604.000
1930-01-01,2619.000
1931-01-01,2657.000
1932-01-01,2711.000
1933-01-01,2747.000
1934-01-01,2784.000
1935-01-01,2798.000
1936-01-01,2791.000
1937-01-01,2795.000
1938-01-01,2821.000
1939-01-01,2874.000
1940-01-01,2935.000
1941-01-01,2973.000
1942-01-01,2939.000
1943-01-01,2972.000
1944-01-01,2868.000
1945-01-01,2878.000
1946-01-01,3074.000
1947-01-01,3166.000
1948-01-01,3216.000
1949-01-01,3236.000
1950-01-01,3315.000
1951-01-01,3372.000
1952-01-01,3352.000
1953-01-01,3319.000
1954-01-01,3359.000
1955-01-01,3415.000
1956-01-01,3415.000
1957-01-01,3434.000
1958-01-01,3471.000
1959-01-01,3522.000
1960-01-01,3575.000
1961-01-01,3622.000
1962-01-01,3673.000
1963-01-01,3718.000
1964-01-01,3771.000
1965-01-01,3798.000
1966-01-01,3822.000
1967-01-01,3859.000
1968-01-01,3878.000
1969-01-01,3897.000
1970-01-01,3926.018
1971-01-01,4013.608
1972-01-01,4094.611
1973-01-01,4147.401
1974-01-01,4213.509
1975-01-01,4275.566
1976-01-01,4346.928
1977-01-01,4422.921
1978-01-01,4486.314
1979-01-01,4560.473
1980-01-01,4600.252
1981-01-01,4627.658
1982-01-01,4646.041
1983-01-01,4659.749
1984-01-01,4686.737
1985-01-01,4715.296
1986-01-01,4738.708
1987-01-01,4782.927
1988-01-01,4822.437
1989-01-01,4854.444
1990-01-01,4890.626
1991-01-01,4946.886
1992-01-01,5013.999
1993-01-01,5085.666
1994-01-01,5163.016
1995-01-01,5241.168
1996-01-01,5313.576
1997-01-01,5378.433
1998-01-01,5432.679
1999-01-01,5483.535
2000-01-01,5703.719
2001-01-01,5750.789
2002-01-01,5795.918
2003-01-01,5847.812
2004-01-01,5910.809
2005-01-01,5991.057
2006-01-01,6088.766
2007-01-01,6175.727
2008-01-01,6247.411
2009-01-01,6306.019
2010-01-01,6355.301
2011-01-01,6397.41
2012-01-01,6451.281
2013-01-01,6493.432
2014-01-01,6540.826
2015-01-01,6590.808
2016-01-01,6645.011
2017-01-01,6708.794
2018-01-01,6770.01
