DATE,TXPOP
1900-01-01,3055.000
1901-01-01,3132.000
1902-01-01,3210.000
1903-01-01,3291.000
1904-01-01,3374.000
1905-01-01,3459.000
1906-01-01,3546.000
1907-01-01,3636.000
1908-01-01,3727.000
1909-01-01,3821.000
1910-01-01,3922.000
1911-01-01,4016.000
1912-01-01,4107.000
1913-01-01,4207.000
1914-01-01,4300.000
1915-01-01,4368.000
1916-01-01,4444.000
1917-01-01,4563.000
1918-01-01,4666.000
1919-01-01,4631.000
1920-01-01,4723.000
1921-01-01,4853.000
1922-01-01,4955.000
1923-01-01,5077.000
1924-01-01,5210.000
1925-01-01,5332.000
1926-01-01,5453.000
1927-01-01,5577.000
1928-01-01,5675.000
1929-01-01,5762.000
1930-01-01,5844.000
1931-01-01,5907.000
1932-01-01,5961.000
1933-01-01,6014.000
1934-01-01,6053.000
1935-01-01,6123.000
1936-01-01,6192.000
1937-01-01,6250.000
1938-01-01,6301.000
1939-01-01,6360.000
1940-01-01,6425.000
1941-01-01,6585.000
1942-01-01,6711.000
1943-01-01,7012.000
1944-01-01,6876.000
1945-01-01,6826.000
1946-01-01,7197.000
1947-01-01,7388.000
1948-01-01,7626.000
1949-01-01,7623.000
1950-01-01,7776.000
1951-01-01,8111.000
1952-01-01,8314.000
1953-01-01,8336.000
1954-01-01,8382.000
1955-01-01,8660.000
1956-01-01,8830.000
1957-01-01,9070.000
1958-01-01,9252.000
1959-01-01,9405.000
1960-01-01,9624.000
1961-01-01,9820.000
1962-01-01,10053.000
1963-01-01,10159.000
1964-01-01,10270.000
1965-01-01,10378.000
1966-01-01,10492.000
1967-01-01,10599.000
1968-01-01,10819.000
1969-01-01,11045.000
1970-01-01,11198.655
1971-01-01,11509.848
1972-01-01,11759.148
1973-01-01,12019.543
1974-01-01,12268.629
1975-01-01,12568.843
1976-01-01,12904.089
1977-01-01,13193.050
1978-01-01,13500.429
1979-01-01,13888.371
1980-01-01,14338.208
1981-01-01,14746.318
1982-01-01,15331.415
1983-01-01,15751.676
1984-01-01,16007.086
1985-01-01,16272.734
1986-01-01,16561.113
1987-01-01,16621.791
1988-01-01,16667.022
1989-01-01,16806.735
1990-01-01,17044.714
1991-01-01,17339.904
1992-01-01,17650.479
1993-01-01,17996.764
1994-01-01,18338.319
1995-01-01,18679.706
1996-01-01,19006.240
1997-01-01,19355.427
1998-01-01,19712.389
1999-01-01,20044.141
2000-01-01,20944.499
2001-01-01,21319.622
2002-01-01,21690.325
2003-01-01,22030.931
2004-01-01,22394.023
2005-01-01,22778.123
2006-01-01,23359.580
2007-01-01,23831.983
2008-01-01,24309.039
2009-01-01,24801.761
2010-01-01,25242.679
2011-01-01,25646.227
2012-01-01,26089.62
2013-01-01,26489.464
2014-01-01,26977.142
2015-01-01,27486.814
2016-01-01,27937.492
2017-01-01,28322.717
2018-01-01,28701.845
