DATE,UTPOP
1900-01-01,277.000
1901-01-01,284.000
1902-01-01,292.000
1903-01-01,299.000
1904-01-01,308.000
1905-01-01,316.000
1906-01-01,327.000
1907-01-01,339.000
1908-01-01,351.000
1909-01-01,363.000
1910-01-01,377.000
1911-01-01,387.000
1912-01-01,399.000
1913-01-01,410.000
1914-01-01,422.000
1915-01-01,430.000
1916-01-01,436.000
1917-01-01,444.000
1918-01-01,437.000
1919-01-01,446.000
1920-01-01,453.000
1921-01-01,457.000
1922-01-01,467.000
1923-01-01,474.000
1924-01-01,481.000
1925-01-01,487.000
1926-01-01,494.000
1927-01-01,500.000
1928-01-01,504.000
1929-01-01,508.000
1930-01-01,509.000
1931-01-01,513.000
1932-01-01,517.000
1933-01-01,520.000
1934-01-01,522.000
1935-01-01,526.000
1936-01-01,527.000
1937-01-01,529.000
1938-01-01,535.000
1939-01-01,543.000
1940-01-01,552.000
1941-01-01,551.000
1942-01-01,575.000
1943-01-01,631.000
1944-01-01,605.000
1945-01-01,591.000
1946-01-01,638.000
1947-01-01,636.000
1948-01-01,653.000
1949-01-01,671.000
1950-01-01,696.000
1951-01-01,706.000
1952-01-01,724.000
1953-01-01,739.000
1954-01-01,750.000
1955-01-01,783.000
1956-01-01,809.000
1957-01-01,826.000
1958-01-01,845.000
1959-01-01,870.000
1960-01-01,900.000
1961-01-01,936.000
1962-01-01,958.000
1963-01-01,974.000
1964-01-01,978.000
1965-01-01,994.000
1966-01-01,1009.000
1967-01-01,1019.000
1968-01-01,1029.000
1969-01-01,1047.000
1970-01-01,1059.273
1971-01-01,1101.192
1972-01-01,1135.449
1973-01-01,1170.040
1974-01-01,1200.471
1975-01-01,1236.030
1976-01-01,1274.928
1977-01-01,1319.512
1978-01-01,1367.510
1979-01-01,1420.238
1980-01-01,1472.595
1981-01-01,1515.471
1982-01-01,1558.314
1983-01-01,1594.943
1984-01-01,1622.342
1985-01-01,1642.910
1986-01-01,1662.834
1987-01-01,1678.119
1988-01-01,1689.372
1989-01-01,1705.864
1990-01-01,1729.722
1991-01-01,1771.941
1992-01-01,1821.498
1993-01-01,1875.993
1994-01-01,1930.436
1995-01-01,1976.774
1996-01-01,2022.253
1997-01-01,2065.397
1998-01-01,2100.562
1999-01-01,2129.836
2000-01-01,2244.502
2001-01-01,2283.715
2002-01-01,2324.815
2003-01-01,2360.137
2004-01-01,2401.580
2005-01-01,2457.719
2006-01-01,2525.507
2007-01-01,2597.746
2008-01-01,2663.029
2009-01-01,2723.421
2010-01-01,2775.334
2011-01-01,2814.216
2012-01-01,2853.467
2013-01-01,2897.927
2014-01-01,2937.399
2015-01-01,2982.497
2016-01-01,3042.613
2017-01-01,3103.118
2018-01-01,3161.105
