DATE,VAPOP
1900-01-01,1858.000
1901-01-01,1887.000
1902-01-01,1894.000
1903-01-01,1890.000
1904-01-01,1889.000
1905-01-01,1917.000
1906-01-01,1942.000
1907-01-01,1952.000
1908-01-01,1994.000
1909-01-01,2038.000
1910-01-01,2071.000
1911-01-01,2092.000
1912-01-01,2122.000
1913-01-01,2176.000
1914-01-01,2241.000
1915-01-01,2294.000
1916-01-01,2316.000
1917-01-01,2313.000
1918-01-01,2359.000
1919-01-01,2318.000
1920-01-01,2347.000
1921-01-01,2395.000
1922-01-01,2412.000
1923-01-01,2423.000
1924-01-01,2426.000
1925-01-01,2423.000
1926-01-01,2419.000
1927-01-01,2433.000
1928-01-01,2435.000
1929-01-01,2425.000
1930-01-01,2427.000
1931-01-01,2445.000
1932-01-01,2452.000
1933-01-01,2460.000
1934-01-01,2485.000
1935-01-01,2520.000
1936-01-01,2552.000
1937-01-01,2590.000
1938-01-01,2638.000
1939-01-01,2670.000
1940-01-01,2720.000
1941-01-01,2855.000
1942-01-01,3038.000
1943-01-01,3130.000
1944-01-01,3248.000
1945-01-01,3193.000
1946-01-01,3212.000
1947-01-01,3201.000
1948-01-01,3207.000
1949-01-01,3292.000
1950-01-01,3315.000
1951-01-01,3434.000
1952-01-01,3504.000
1953-01-01,3557.000
1954-01-01,3555.000
1955-01-01,3588.000
1956-01-01,3722.000
1957-01-01,3844.000
1958-01-01,3914.000
1959-01-01,3951.000
1960-01-01,3986.000
1961-01-01,4095.000
1962-01-01,4180.000
1963-01-01,4276.000
1964-01-01,4357.000
1965-01-01,4411.000
1966-01-01,4456.000
1967-01-01,4508.000
1968-01-01,4558.000
1969-01-01,4614.000
1970-01-01,4651.448
1971-01-01,4750.838
1972-01-01,4824.472
1973-01-01,4901.292
1974-01-01,4971.069
1975-01-01,5047.395
1976-01-01,5121.863
1977-01-01,5193.112
1978-01-01,5270.240
1979-01-01,5307.945
1980-01-01,5368.334
1981-01-01,5444.097
1982-01-01,5492.783
1983-01-01,5564.657
1984-01-01,5643.870
1985-01-01,5715.153
1986-01-01,5811.700
1987-01-01,5932.268
1988-01-01,6036.909
1989-01-01,6120.246
1990-01-01,6213.526
1991-01-01,6283.853
1992-01-01,6383.315
1993-01-01,6464.795
1994-01-01,6536.771
1995-01-01,6601.392
1996-01-01,6665.491
1997-01-01,6732.878
1998-01-01,6789.225
1999-01-01,6872.912
2000-01-01,7105.817
2001-01-01,7198.362
2002-01-01,7286.873
2003-01-01,7366.977
2004-01-01,7475.575
2005-01-01,7577.105
2006-01-01,7673.725
2007-01-01,7751.000
2008-01-01,7833.496
2009-01-01,7925.937
2010-01-01,8023.68
2011-01-01,8100.469
2012-01-01,8185.229
2013-01-01,8253.053
2014-01-01,8312.076
2015-01-01,8362.907
2016-01-01,8410.946
2017-01-01,8465.207
2018-01-01,8517.685
