DATE,WAPOP
1900-01-01,523.000
1901-01-01,583.000
1902-01-01,651.000
1903-01-01,719.000
1904-01-01,782.000
1905-01-01,842.000
1906-01-01,904.000
1907-01-01,967.000
1908-01-01,1028.000
1909-01-01,1091.000
1910-01-01,1148.000
1911-01-01,1167.000
1912-01-01,1184.000
1913-01-01,1209.000
1914-01-01,1231.000
1915-01-01,1239.000
1916-01-01,1255.000
1917-01-01,1287.000
1918-01-01,1341.000
1919-01-01,1333.000
1920-01-01,1373.000
1921-01-01,1405.000
1922-01-01,1415.000
1923-01-01,1433.000
1924-01-01,1467.000
1925-01-01,1494.000
1926-01-01,1516.000
1927-01-01,1538.000
1928-01-01,1551.000
1929-01-01,1555.000
1930-01-01,1568.000
1931-01-01,1581.000
1932-01-01,1584.000
1933-01-01,1592.000
1934-01-01,1610.000
1935-01-01,1629.000
1936-01-01,1653.000
1937-01-01,1681.000
1938-01-01,1698.000
1939-01-01,1715.000
1940-01-01,1740.000
1941-01-01,1789.000
1942-01-01,1901.000
1943-01-01,2027.000
1944-01-01,2092.000
1945-01-01,2206.000
1946-01-01,2288.000
1947-01-01,2211.000
1948-01-01,2255.000
1949-01-01,2294.000
1950-01-01,2387.000
1951-01-01,2424.000
1952-01-01,2448.000
1953-01-01,2466.000
1954-01-01,2516.000
1955-01-01,2604.000
1956-01-01,2668.000
1957-01-01,2724.000
1958-01-01,2773.000
1959-01-01,2821.000
1960-01-01,2855.000
1961-01-01,2882.000
1962-01-01,2942.000
1963-01-01,2955.000
1964-01-01,2961.000
1965-01-01,2967.000
1966-01-01,3057.000
1967-01-01,3174.000
1968-01-01,3270.000
1969-01-01,3343.000
1970-01-01,3413.244
1971-01-01,3447.553
1972-01-01,3447.885
1973-01-01,3478.782
1974-01-01,3549.946
1975-01-01,3621.339
1976-01-01,3693.610
1977-01-01,3776.050
1978-01-01,3889.073
1979-01-01,4017.632
1980-01-01,4154.678
1981-01-01,4235.731
1982-01-01,4276.552
1983-01-01,4300.266
1984-01-01,4343.656
1985-01-01,4400.098
1986-01-01,4452.720
1987-01-01,4531.901
1988-01-01,4639.893
1989-01-01,4746.316
1990-01-01,4900.780
1991-01-01,5013.443
1992-01-01,5139.011
1993-01-01,5247.704
1994-01-01,5334.896
1995-01-01,5431.024
1996-01-01,5509.963
1997-01-01,5604.105
1998-01-01,5687.832
1999-01-01,5756.361
2000-01-01,5910.512
2001-01-01,5985.722
2002-01-01,6052.349
2003-01-01,6104.115
2004-01-01,6178.645
2005-01-01,6257.305
2006-01-01,6370.753
2007-01-01,6461.587
2008-01-01,6562.231
2009-01-01,6667.426
2010-01-01,6742.902
2011-01-01,6821.655
2012-01-01,6892.876
2013-01-01,6962.906
2014-01-01,7052.439
2015-01-01,7163.543
2016-01-01,7294.68
2017-01-01,7425.432
2018-01-01,7535.591
