DATE,WVPOP
1900-01-01,959.000
1901-01-01,972.000
1902-01-01,1000.000
1903-01-01,1037.000
1904-01-01,1064.000
1905-01-01,1094.000
1906-01-01,1122.000
1907-01-01,1149.000
1908-01-01,1174.000
1909-01-01,1203.000
1910-01-01,1231.000
1911-01-01,1266.000
1912-01-01,1291.000
1913-01-01,1317.000
1914-01-01,1362.000
1915-01-01,1387.000
1916-01-01,1414.000
1917-01-01,1439.000
1918-01-01,1438.000
1919-01-01,1464.000
1920-01-01,1470.000
1921-01-01,1485.000
1922-01-01,1498.000
1923-01-01,1526.000
1924-01-01,1577.000
1925-01-01,1593.000
1926-01-01,1623.000
1927-01-01,1671.000
1928-01-01,1696.000
1929-01-01,1717.000
1930-01-01,1733.000
1931-01-01,1740.000
1932-01-01,1747.000
1933-01-01,1752.000
1934-01-01,1771.000
1935-01-01,1794.000
1936-01-01,1808.000
1937-01-01,1813.000
1938-01-01,1828.000
1939-01-01,1868.000
1940-01-01,1907.000
1941-01-01,1885.000
1942-01-01,1831.000
1943-01-01,1741.000
1944-01-01,1706.000
1945-01-01,1708.000
1946-01-01,1826.000
1947-01-01,1883.000
1948-01-01,1899.000
1949-01-01,1930.000
1950-01-01,2006.000
1951-01-01,1984.000
1952-01-01,1957.000
1953-01-01,1929.000
1954-01-01,1905.000
1955-01-01,1880.000
1956-01-01,1857.000
1957-01-01,1843.000
1958-01-01,1845.000
1959-01-01,1855.000
1960-01-01,1853.000
1961-01-01,1828.000
1962-01-01,1809.000
1963-01-01,1796.000
1964-01-01,1797.000
1965-01-01,1786.000
1966-01-01,1775.000
1967-01-01,1769.000
1968-01-01,1763.000
1969-01-01,1746.000
1970-01-01,1744.237
1971-01-01,1770.657
1972-01-01,1797.648
1973-01-01,1806.360
1974-01-01,1815.447
1975-01-01,1842.250
1976-01-01,1879.503
1977-01-01,1908.088
1978-01-01,1923.395
1979-01-01,1942.146
1980-01-01,1951.349
1981-01-01,1954.124
1982-01-01,1949.604
1983-01-01,1945.061
1984-01-01,1927.697
1985-01-01,1906.831
1986-01-01,1882.350
1987-01-01,1857.585
1988-01-01,1830.215
1989-01-01,1806.568
1990-01-01,1792.481
1991-01-01,1798.212
1992-01-01,1805.462
1993-01-01,1816.179
1994-01-01,1818.490
1995-01-01,1820.560
1996-01-01,1818.983
1997-01-01,1815.588
1998-01-01,1811.688
1999-01-01,1806.928
2000-01-01,1807.021
2001-01-01,1801.481
2002-01-01,1805.414
2003-01-01,1812.295
2004-01-01,1816.438
2005-01-01,1820.492
2006-01-01,1827.912
2007-01-01,1834.052
2008-01-01,1840.310
2009-01-01,1847.775
2010-01-01,1854.214
2011-01-01,1856.074
2012-01-01,1856.764
2013-01-01,1853.873
2014-01-01,1849.467
2015-01-01,1841.996
2016-01-01,1830.929
2017-01-01,1817.048
2018-01-01,1805.832
