DATE,WYPOP
1900-01-01,93.000
1901-01-01,100.000
1902-01-01,105.000
1903-01-01,108.000
1904-01-01,111.000
1905-01-01,114.000
1906-01-01,118.000
1907-01-01,125.000
1908-01-01,133.000
1909-01-01,141.000
1910-01-01,147.000
1911-01-01,150.000
1912-01-01,153.000
1913-01-01,157.000
1914-01-01,163.000
1915-01-01,167.000
1916-01-01,174.000
1917-01-01,186.000
1918-01-01,181.000
1919-01-01,191.000
1920-01-01,197.000
1921-01-01,203.000
1922-01-01,208.000
1923-01-01,211.000
1924-01-01,215.000
1925-01-01,216.000
1926-01-01,217.000
1927-01-01,219.000
1928-01-01,220.000
1929-01-01,223.000
1930-01-01,226.000
1931-01-01,229.000
1932-01-01,230.000
1933-01-01,230.000
1934-01-01,233.000
1935-01-01,237.000
1936-01-01,240.000
1937-01-01,243.000
1938-01-01,246.000
1939-01-01,248.000
1940-01-01,250.000
1941-01-01,247.000
1942-01-01,251.000
1943-01-01,247.000
1944-01-01,242.000
1945-01-01,239.000
1946-01-01,254.000
1947-01-01,258.000
1948-01-01,269.000
1949-01-01,277.000
1950-01-01,290.000
1951-01-01,291.000
1952-01-01,293.000
1953-01-01,290.000
1954-01-01,293.000
1955-01-01,307.000
1956-01-01,312.000
1957-01-01,314.000
1958-01-01,315.000
1959-01-01,320.000
1960-01-01,331.000
1961-01-01,337.000
1962-01-01,333.000
1963-01-01,336.000
1964-01-01,339.000
1965-01-01,332.000
1966-01-01,323.000
1967-01-01,322.000
1968-01-01,324.000
1969-01-01,329.000
1970-01-01,332.416
1971-01-01,340.285
1972-01-01,347.345
1973-01-01,354.061
1974-01-01,365.501
1975-01-01,381.695
1976-01-01,396.952
1977-01-01,413.354
1978-01-01,432.880
1979-01-01,454.378
1980-01-01,474.185
1981-01-01,491.712
1982-01-01,506.400
1983-01-01,510.345
1984-01-01,504.896
1985-01-01,499.695
1986-01-01,495.633
1987-01-01,476.965
1988-01-01,465.101
1989-01-01,458.374
1990-01-01,453.401
1991-01-01,457.739
1992-01-01,463.491
1993-01-01,469.033
1994-01-01,474.982
1995-01-01,478.447
1996-01-01,480.085
1997-01-01,480.031
1998-01-01,480.045
1999-01-01,479.602
2000-01-01,494.300
2001-01-01,494.657
2002-01-01,500.017
2003-01-01,503.453
2004-01-01,509.106
2005-01-01,514.157
2006-01-01,522.667
2007-01-01,534.876
2008-01-01,546.043
2009-01-01,559.851
2010-01-01,564.483
2011-01-01,567.224
2012-01-01,576.27
2013-01-01,582.123
2014-01-01,582.548
2015-01-01,585.668
2016-01-01,584.29
2017-01-01,578.934
2018-01-01,577.737
