"","State","population","year"
"1","AK",135,1950
"2","AK",158,1951
"3","AK",189,1952
"4","AK",205,1953
"5","AK",215,1954
"6","AK",222,1955
"7","AK",224,1956
"8","AK",231,1957
"9","AK",224,1958
"10","AK",224,1959
"11","AK",229,1960
"12","AK",238,1961
"13","AK",246,1962
"14","AK",256,1963
"15","AK",263,1964
"16","AK",271,1965
"17","AK",271,1966
"18","AK",278,1967
"19","AK",285,1968
"20","AK",296,1969
"21","AK",302.583,1970
"22","AK",315.51,1971
"23","AK",324.464,1972
"24","AK",330.543,1973
"25","AK",341.063,1974
"26","AK",376.17,1975
"27","AK",400.969,1976
"28","AK",403.436,1977
"29","AK",404.766,1978
"30","AK",402.753,1979
"31","AK",405.315,1980
"32","AK",418.491,1981
"33","AK",449.606,1982
"34","AK",488.417,1983
"35","AK",513.702,1984
"36","AK",532.495,1985
"37","AK",544.268,1986
"38","AK",539.309,1987
"39","AK",541.983,1988
"40","AK",547.159,1989
"41","AK",553.12,1990
"42","AK",569.273,1991
"43","AK",587.073,1992
"44","AK",596.993,1993
"45","AK",600.624,1994
"46","AK",601.345,1995
"47","AK",604.918,1996
"48","AK",608.846,1997
"49","AK",615.205,1998
"50","AK",619.5,1999
"51","AK",627.963,2000
"52","AK",633.714,2001
"53","AK",642.337,2002
"54","AK",648.414,2003
"55","AK",659.286,2004
"56","AK",666.946,2005
"57","AK",675.302,2006
"58","AK",680.3,2007
"59","AK",687.455,2008
"60","AK",698.895,2009
"61","AK",713.906,2010
"62","AK",722.038,2011
"63","AK",730.399,2012
"64","AK",737.045,2013
"65","AK",736.307,2014
"66","AK",737.547,2015
"67","AK",741.504,2016
"68","AK",739.786,2017
"69","AK",737.438,2018
"70","AK",NA,1900
"71","AK",NA,1901
"72","AK",NA,1902
"73","AK",NA,1903
"74","AK",NA,1904
"75","AK",NA,1905
"76","AK",NA,1906
"77","AK",NA,1907
"78","AK",NA,1908
"79","AK",NA,1909
"80","AK",NA,1910
"81","AK",NA,1911
"82","AK",NA,1912
"83","AK",NA,1913
"84","AK",NA,1914
"85","AK",NA,1915
"86","AK",NA,1916
"87","AK",NA,1917
"88","AK",NA,1918
"89","AK",NA,1919
"90","AK",NA,1920
"91","AK",NA,1921
"92","AK",NA,1922
"93","AK",NA,1923
"94","AK",NA,1924
"95","AK",NA,1925
"96","AK",NA,1926
"97","AK",NA,1927
"98","AK",NA,1928
"99","AK",NA,1929
"100","AK",NA,1930
"101","AK",NA,1931
"102","AK",NA,1932
"103","AK",NA,1933
"104","AK",NA,1934
"105","AK",NA,1935
"106","AK",NA,1936
"107","AK",NA,1937
"108","AK",NA,1938
"109","AK",NA,1939
"110","AK",NA,1940
"111","AK",NA,1941
"112","AK",NA,1942
"113","AK",NA,1943
"114","AK",NA,1944
"115","AK",NA,1945
"116","AK",NA,1946
"117","AK",NA,1947
"118","AK",NA,1948
"119","AK",NA,1949
"120","AL",3058,1950
"121","AL",3059,1951
"122","AL",3068,1952
"123","AL",3053,1953
"124","AL",3014,1954
"125","AL",3050,1955
"126","AL",3071,1956
"127","AL",3109,1957
"128","AL",3163,1958
"129","AL",3204,1959
"130","AL",3274,1960
"131","AL",3316,1961
"132","AL",3323,1962
"133","AL",3358,1963
"134","AL",3395,1964
"135","AL",3443,1965
"136","AL",3464,1966
"137","AL",3458,1967
"138","AL",3446,1968
"139","AL",3440,1969
"140","AL",3444.354,1970
"141","AL",3497.076,1971
"142","AL",3539.4,1972
"143","AL",3579.78,1973
"144","AL",3626.499,1974
"145","AL",3678.814,1975
"146","AL",3735.139,1976
"147","AL",3780.403,1977
"148","AL",3831.836,1978
"149","AL",3866.248,1979
"150","AL",3900.368,1980
"151","AL",3918.531,1981
"152","AL",3925.266,1982
"153","AL",3934.102,1983
"154","AL",3951.82,1984
"155","AL",3972.523,1985
"156","AL",3991.569,1986
"157","AL",4015.264,1987
"158","AL",4023.844,1988
"159","AL",4030.222,1989
